world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Padre Eterno Archaeological Site,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ponte Madonna della Stella,europe/italy/puglia/gravina_in_puglia/ponte_madonna_della_stella,0.414,,,missing_coordinates; has_external_url,https://www.iatgravina.it/area-archeologica-padre-eterno/,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/ripon,Ripon,Ripon (England),5,18,do,Lightwater Valley,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ripon Cathedral,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/ripon/ripon_cathedral,0.438,,,missing_coordinates; has_external_url,https://www.lightwatervalley.co.uk,https://en.wikivoyage.org/wiki/Ripon_%28England%29
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Bay FC,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Henry's Hi-Life,northamerica/unitedstates/california/sanjose/henrys_hilife,0.286,,,missing_coordinates; has_external_url,https://bayfc.com/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Museu da Música de Mariana,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mina da Passagem,southamerica/brazil/mariana/mina_da_passagem,0.359,,,missing_coordinates; has_external_url,http://www.mmmariana.com.br,https://en.wikivoyage.org/wiki/Mariana
northamerica/unitedstates/alaska/juneau,Juneau,Juneau,16,58,do,Wild Coast Excursions,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sealaska Heritage Institute,northamerica/unitedstates/alaska/juneau/sealaska_heritage_institute,0.375,,,missing_coordinates; has_external_url,http://wildcoastexcursions.com,https://en.wikivoyage.org/wiki/Juneau
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Comet Falls Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,https://www.nps.gov/mora/planyourvisit/comet-falls-van-trump-park-trail.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Beekeeping Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Máriabesnyő Pilgrimage Church,europe/hungary/godollo/mariabesnyő,0.356,,,missing_coordinates; has_external_url,http://www.gvkik.hu/wiki/index.php5/G%C3%B6d%C3%B6ll%C5%91i_M%C3%A9h%C3%A9szeti_Gy%C5%B1jtem%C3%A9ny,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91
northamerica/unitedstates/tennessee/gatlinburg,Gatlinburg,Gatlinburg,15,26,see,Guinness World Records Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Gatlinburg Arts and Crafts Community,northamerica/unitedstates/tennessee/gatlinburg/gatlinburg_arts_and_crafts_community,0.4,,,missing_coordinates; has_external_url,https://www.ripleys.com/gatlinburg/guinness-world-records/,https://en.wikivoyage.org/wiki/Gatlinburg
northamerica/unitedstates/florida/westpalmbeach,West Palm Beach,West Palm Beach,10,21,see,Henry M Flagler Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Norton Museum of Art,northamerica/unitedstates/florida/westpalmbeach/norton_museum,0.429,,,missing_coordinates; has_external_url,https://www.flaglermuseum.us/,https://en.wikivoyage.org/wiki/West_Palm_Beach
europe/italy/abruzzo/opi,Opi,Opi,4,6,see,Ski and Mountain Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chiesa di Santa Maria Assunta,europe/italy/abruzzo/opi/chiesa_di_santa_maria_assunta,0.423,,,missing_coordinates; has_external_url,http://www.opionline.it/museo_sci.html,https://en.wikivoyage.org/wiki/Opi
northamerica/unitedstates/alabama/fort_payne,Fort Payne,Fort Payne,5,9,see,Desoto State Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Manitou Cave,northamerica/unitedstates/alabama/fort_payne/manitou_cave,0.345,,,missing_coordinates; has_external_url,http://www.alapark.com/desoto-state-park,https://en.wikivoyage.org/wiki/Fort_Payne
northamerica/canada/ontario/north_bay,North Bay,North Bay (Ontario),6,31,see,North Bay Battalion,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Discovery North Bay Museum,northamerica/canada/ontario/north_bay/discovery_north_bay_museum,0.444,,,missing_coordinates; has_external_url,https://battalionhockey.com/,https://en.wikivoyage.org/wiki/North_Bay_%28Ontario%29
