world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/uruguay/montevideo,Montevideo,Montevideo,26,137,see,Museo Blanes,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.8531,-56.1983,Museo Andes 1972,southamerica/uruguay/montevideo/museo_andes,0.714,6.687,5.905,has_external_url,http://blanes.montevideo.gub.uy/,https://en.wikivoyage.org/wiki/Montevideo
northamerica/unitedstates/california/centralcoast/solvang,Solvang,Solvang,8,18,see,Elverhoj Museum of History & Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.592,-120.143,Solvang Vintage Motorcycle Museum,northamerica/unitedstates/california/centralcoast/solvang/vintage_motorcycle_museum,0.673,0.327,0.62,has_external_url,http://www.elverhoj.org/,https://en.wikivoyage.org/wiki/Solvang
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Bioparc Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.5425,-5.6767,Gijón Railway Museum,europe/spain/northernspain/gijon/gijon_railway_museum,0.632,0.368,1.157,has_external_url,https://acuariogijon.es/en/,https://en.wikivoyage.org/wiki/Gij%C3%B3n
northamerica/canada/ontario/cobourg,Cobourg,Cobourg,6,21,see,Cobourg & Area Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.9575,-78.1715,Victoria Hall,northamerica/canada/ontario/cobourg/victoria_hall,0.636,0.364,0.377,has_external_url,https://cobourgmuseum.ca/,https://en.wikivoyage.org/wiki/Cobourg
asia/malaysia/perhentianislands,Perhentian Islands,Perhentian Islands,9,35,do,Quiver Dive Team,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,5.9152021,102.7166339,Tiga Ruang Dive Site,asia/malaysia/perhentianislands/tiga_ruang,0.556,1.987,1.851,has_external_url,http://www.quiver-perhentian.com/,https://en.wikivoyage.org/wiki/Perhentian_Islands
africa/cameroon/bamenda,Bamenda,Bamenda,12,15,see,Mankon Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.00299,10.104367,Mankon Fon's Palace,africa/cameroon/bamenda/mankon_palace,0.562,6.976,6.98,has_external_url,http://www.museumcam.org/mankon/,https://en.wikivoyage.org/wiki/Bamenda
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,Johor Bahru Kwong Siew Heritage Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,1.458982,103.766086,Johor Bahru Chinese Heritage Museum,asia/malaysia/johorbahru/jb_chinese_heritage_museum,0.676,0.453,0.157,has_external_url,https://www.facebook.com/KwongSiewHeritageGallery/,https://en.wikivoyage.org/wiki/Johor_Bahru
northamerica/unitedstates/northcarolina/boone,Boone,Boone (North Carolina),13,35,do,Sugar Mountain Resort,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.130784,-81.857577,Grandfather Mountain,northamerica/unitedstates/northcarolina/boone/grandfather_mountain,0.585,4.56,18.995,has_external_url,http://www.skisugar.com/,https://en.wikivoyage.org/wiki/Boone_%28North_Carolina%29
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,see,Fort Mose Historic State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.927778,-81.325278,Anastasia State Park,northamerica/unitedstates/florida/northeastflorida/staugustine/anastasia_state_park,0.571,7.697,3.865,has_external_url,https://www.floridastateparks.org/park/Fort-Mose,https://en.wikivoyage.org/wiki/St._Augustine
europe/unitedkingdom/wales/snowdonia/llanberis,Llanberis,Llanberis,6,13,do,Padarn Country Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.120609,-4.115242,Dolbadarn Castle,europe/unitedkingdom/wales/snowdonia/llanberis/dolbadarn_castle,0.584,0.416,0.838,has_external_url,https://parcpadarn.cymru/,https://en.wikivoyage.org/wiki/Llanberis
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,do,Parque dos Castelhanos,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.8396477,-45.3602203,Praia de Castelhanos,southamerica/brazil/ilhabela/praia_de_castelhanos,0.718,7.494,2.701,has_external_url,http://fflorestal.sp.gov.br/,https://en.wikivoyage.org/wiki/Ilhabela
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Armenian Railways Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.155789,44.508573,Saryan Museum,europe/armenia/yerevan/saryanmuseum,0.595,2.841,2.462,has_external_url,http://www.ukzhd.am/muzey.html,https://en.wikivoyage.org/wiki/Yerevan
europe/denmark/aarhus,Aarhus,Aarhus,12,232,do,Aarhus Skøjtehal,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.181658,10.189689,Aarhus Cathedral,europe/denmark/aarhus/aarhus_cathedral,0.688,3.086,3.855,has_external_url,http://www.skojtehallen.dk,https://en.wikivoyage.org/wiki/Aarhus
