world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/delaware/dewey_beach,Dewey Beach,Dewey Beach,3,30,see,Jolly Trolley,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Starboard,northamerica/unitedstates/delaware/dewey_beach/starboard,0.273,,,missing_coordinates; has_external_url,http://www.jollytrolley.com/,https://en.wikivoyage.org/wiki/Dewey_Beach
northamerica/unitedstates/maryland/stmichaels,St. Michaels,St. Michaels,4,5,see,St. Mary's Square Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chesapeake Bay Maritime Museum,northamerica/unitedstates/maryland/stmichaels/chesapeake_bay_maritime_museum,0.491,,,missing_coordinates; has_external_url,http://stmichaelsmuseum.org/,https://en.wikivoyage.org/wiki/St._Michaels
europe/spain/centralspain/salamanca,Salamanca,Salamanca,7,26,see,Convento de San Esteban,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,University of Salamanca,europe/spain/centralspain/salamanca/university_of_salamanca,0.465,,,missing_coordinates; has_external_url,https://www.conventosanesteban.es/,https://en.wikivoyage.org/wiki/Salamanca
europe/italy/veneto/verona,Verona,Verona,22,46,do,S. Maria di Lourdes Sanctuary,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Casa di Giulietta,europe/italy/veneto/verona/casa_di_giulietta,0.444,,,missing_coordinates; has_external_url,https://www.sgiusecoperosimo.it/santuario-lourdes-verona.html,https://en.wikivoyage.org/wiki/Verona
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,see,Resurgo Place - Moncton Museum and the Transportation Discovery Centre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Resurgo Place,northamerica/canada/newbrunswick/moncton/resurgo_place,0.338,,,missing_coordinates; has_external_url,http://www.resurgo.ca,https://en.wikivoyage.org/wiki/Moncton
southamerica/brazil/recife,Recife,Recife,34,154,see,Museum of the Northeastern Man,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Monument Tortura Nunca Mais,southamerica/brazil/recife/monument_tortura_nunca_mais,0.453,,,missing_coordinates; has_external_url,https://www.fundaj.gov.br/index.php/pagina-muhne,https://en.wikivoyage.org/wiki/Recife
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,do,Long Beach Triathlon,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Long Beach Museum of Art,northamerica/unitedstates/california/long_beach/long_beach_museum_of_art,0.545,,,missing_coordinates; has_external_url,https://www.teamusa.org/usa-triathlon/events/legacy-triathlon,https://en.wikivoyage.org/wiki/Long_Beach
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,do,Downtown Manteca Farmers Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Downtown Murals,northamerica/unitedstates/california/centralvalley/manteca/manteca_murals,0.522,,,missing_coordinates; has_external_url,http://manteca.org/market-music-in-manteca-farmers-market/,https://en.wikivoyage.org/wiki/Manteca
africa/southafrica/stellenbosch,Stellenbosch,Stellenbosch,6,23,do,Klein Libertas Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Jonkershoek Valley,africa/southafrica/stellenbosch/jonkershoek_valley,0.4,,,missing_coordinates; has_external_url,http://www.kleinlibertasteater.co.za/,https://en.wikivoyage.org/wiki/Stellenbosch
australiaandpacific/newzealand/north_island/whanganui_region/wanganui,Wanganui,Whanganui,14,34,do,Waimarie,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Whanganui River Road,australiaandpacific/newzealand/north_island/whanganui_region/wanganui/river_road,0.429,,,missing_coordinates; has_external_url,http://waimarie.co.nz/,https://en.wikivoyage.org/wiki/Whanganui
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Old Fort Days Rodeo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Smith National Historic Site,northamerica/unitedstates/arkansas/fortsmith/fort_smith_national_historic_site,0.346,,,missing_coordinates; has_external_url,http://www.oldfortdaysrodeo.com/,https://en.wikivoyage.org/wiki/Fort_Smith
northamerica/unitedstates/california/northcoast/healdsburg,Healdsburg,Healdsburg,16,32,see,Upstairs Art Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dry Creek Valley,northamerica/unitedstates/california/northcoast/healdsburg/dry_creek_valley,0.5,,,missing_coordinates; has_external_url,https://www.upstairsartgallery.net,https://en.wikivoyage.org/wiki/Healdsburg
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,do,Salisbury Automobile Classic,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Salisbury House and Gardens,northamerica/unitedstates/iowa/desmoines/salisbury_house,0.545,,,missing_coordinates; has_external_url,http://www.salisburyhouse.org/,https://en.wikivoyage.org/wiki/Des_Moines
