world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/slovenia/ljubljana,Ljubljana,Ljubljana,26,111,see,Museum of Architecture and Design,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.050659,14.563161,Museum of Modern Art (MSUM),europe/slovenia/ljubljana/modern_art_museum,0.491,4.785,4.34,has_external_url,https://mao.si/en/,https://en.wikivoyage.org/wiki/Ljubljana
northamerica/guatemala/quezaltenango,Quetzaltenango (Xela),Quetzaltenango,3,13,do,Quetzaltenango Municipal Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.837989,-91.518867,Parque Centro América,northamerica/guatemala/quezaltenango/parque_centro_america,0.264,0.815,0.571,has_external_url,https://teatromunicipalquetzaltenango.org/,https://en.wikivoyage.org/wiki/Quetzaltenango
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,see,KA 4 Museum and the Fort of Oskar II,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.674733,11.852342,Museum of World Culture,europe/sweden/gothenburg/museum_of_world_cu,0.473,8.456,7.714,has_external_url,http://www.o2fort.se/index2.html,https://en.wikivoyage.org/wiki/Gothenburg
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,The Museum of Guangxi Zhuang Autonomous Region,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.815141866,108.3312413143,Guangxi Museum,asia/china/guangxi/nanning/guangxi_museum,0.429,1.087,1.739,has_external_url,https://www.gxmuseum.cn,https://en.wikivoyage.org/wiki/Nanning
asia/vietnam/hochiminhcity,Ho Chi Minh City,Ho Chi Minh City,56,178,do,Dam Sen Water Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.76761,106.63633,Notre-Dame Cathedral,asia/vietnam/hochiminhcity/notre_dame_cathedral,0.526,6.979,7.239,has_external_url,http://www.damsenwaterpark.com.vn/en/home/,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,The Michal Mine,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.8426,18.3454,Cathedral of the Divine Saviour,europe/czechrepublic/ostrava/cathedral_divine_saviour,0.421,4.115,6.417,has_external_url,http://www.dul-michal.cz,https://en.wikivoyage.org/wiki/Ostrava
northamerica/unitedstates/kansas/topeka,Topeka,Topeka,14,36,do,Lake Shawnee,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.00518,-95.627731,Gage Park,northamerica/unitedstates/kansas/topeka/gage_park,0.381,9.329,6.502,has_external_url,http://parks.snco.us/index.aspx?NID=136,https://en.wikivoyage.org/wiki/Topeka
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,do,The Palace Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.54375,0.69177,Adventure Island,europe/unitedkingdom/england/eastern_england/southendonsea/adventure_island,0.333,2.08,1.555,has_external_url,https://trafalgartickets.com/palace-theatre-southend/en-GB,https://en.wikivoyage.org/wiki/Southend-on-Sea
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,The Old West End,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.6707,-83.562,Rudy's Hot Dog,northamerica/unitedstates/ohio/toledo/rudys_hot_dog,0.462,3.553,2.819,has_external_url,https://www.oldwestendtoledo.com/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/unitedstates/mississippi/tupelo,Tupelo,Tupelo,0,14,do,Tupelo Furniture Market,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.28407,-88.77768,,,0.0,,7.434,has_external_url,https://tupelofurnituremarket.com/,https://en.wikivoyage.org/wiki/Tupelo
