world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/albania/saranda,Saranda,Sarandë,11,25,do,Central Park,0.81,candidate,has coordinates; high-value type; strong travel term,39.875031,20.007385,Forty Saints Monastery,europe/albania/saranda/forty_saints_monastery,0.294,1.262,0.076,needs_external_source,,https://en.wikivoyage.org/wiki/Sarand%C3%AB
northamerica/unitedstates/mississippi/jackson,Jackson,Jackson (Mississippi),20,54,see,Battlefield Park,0.81,candidate,has coordinates; high-value type; strong travel term,32.28681,-90.19981,Smith Park,northamerica/unitedstates/mississippi/jackson/smith_park,0.462,1.876,1.941,needs_external_source,,https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29
europe/italy/abruzzo/aquila,L’Aquila,L'Aquila,7,11,see,Castle of Rocca Calascio,0.81,candidate,has coordinates; high-value type; strong travel term,42.328967,13.688944,Santa Maria del Suffragio,europe/italy/abruzzo/aquila/santa_maria_suffragio,0.4,24.019,24.019,needs_external_source,,https://en.wikivoyage.org/wiki/L%27Aquila
northamerica/turksandcaicosislands/southcaicos,South Caicos,South Caicos,5,13,do,Cove Beach,0.81,candidate,has coordinates; high-value type; strong travel term,21.53823,-71.50004,Sail Rock and the South-End Beaches,northamerica/turksandcaicosislands/southcaicos/sail_rock,0.39,10.289,4.726,needs_external_source,,https://en.wikivoyage.org/wiki/South_Caicos
africa/kenya/thecoast/malindi,Malindi,Malindi,5,38,do,Papa Remo Beach,0.81,candidate,has coordinates; high-value type; strong travel term,-3.3428,40.0402,Portuguese Chapel,africa/kenya/thecoast/malindi/portuguese_chapel,0.312,16.531,14.516,needs_external_source,,https://en.wikivoyage.org/wiki/Malindi
asia/turkey/ankara,Ankara,Ankara,13,116,do,Seğmenler Park,0.81,candidate,has coordinates; high-value type; strong travel term,39.89583877500611,32.862850010738754,Temple of Augustus,asia/turkey/ankara/temple_of_augustus,0.375,5.1,2.873,needs_external_source,,https://en.wikivoyage.org/wiki/Ankara
africa/algeria/constantine,Constantine,Constantine,9,22,see,Ruins of the Antonian Roman aqueduct,0.81,candidate,has coordinates; high-value type; strong travel term,36.35037,6.61738,Sidi Rached Viaduct,africa/algeria/constantine/sidi_rached_viaduct,0.392,1.495,1.731,needs_external_source,,https://en.wikivoyage.org/wiki/Constantine
asia/china/hunan/fenghuang,Fenghuang,Fenghuang,10,8,see,Gucheng Museum,0.81,candidate,has coordinates; high-value type; strong travel term,27.951390001405308,109.59796779935536,Hong Bridge (Rainbow Bridge),asia/china/hunan/fenghuang/hong_bridge,0.4,1.116,0.629,needs_external_source,,https://en.wikivoyage.org/wiki/Fenghuang
asia/china/innermongolia/chifeng,Chifeng,Chifeng,7,23,see,Inner Mongolia Hongshan National Forest Park,0.81,candidate,has coordinates; high-value type; strong travel term,42.3,118.98,Mongolian Lamb Restaurants (Old Town),asia/china/innermongolia/chifeng/mongolian_lamb_restaurants,0.514,7.762,6.061,needs_external_source,,https://en.wikivoyage.org/wiki/Chifeng
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,ruins of Roman city walls and two towers,0.81,candidate,has coordinates; high-value type; strong travel term,50.93102,6.95137,Cologne City Hall (Kölner Rathaus),europe/germany/northrhinewestphalia/cologne/cologne_city_hall,0.421,0.955,1.015,needs_external_source,,https://en.wikivoyage.org/wiki/Cologne
europe/unitedkingdom/scotland/jedburgh,Jedburgh,Jedburgh,7,20,see,Fatlips Castle,0.81,candidate,has coordinates; high-value type; strong travel term,55.4801,-2.663,Town cafes,europe/unitedkingdom/scotland/jedburgh/town_cafes,0.417,,6.787,needs_external_source,,https://en.wikivoyage.org/wiki/Jedburgh
