world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/santaclara,Santa Clara,Santa Clara (California),6,30,see,de Saisset Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3523,-121.93819,Intel Museum,northamerica/unitedstates/california/santaclara/intel_museum,0.692,4.512,1.515,has_external_url,http://www.scu.edu/desaisset/,https://en.wikivoyage.org/wiki/Santa_Clara_%28California%29
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,do,The Exploration Place,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.90533,-122.73555,Exploration Place Museum and Science Centre,northamerica/canada/britishcolumbia/princegeorge/exploration_place,0.567,0.718,1.056,has_external_url,https://theexplorationplace.com/,https://en.wikivoyage.org/wiki/Prince_George
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,see,Lady Franklin Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-42.86601,147.27805,Franklin Square,australiaandpacific/australia/tasmania/hobart/franklin_square,0.611,4.664,4.387,has_external_url,https://artstas.com.au/,https://en.wikivoyage.org/wiki/Hobart
europe/germany/bremen,Bremen,Bremen,15,32,see,Gerhard-Marcks-Haus,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.07277,8.81472,Schnoorviertel,europe/germany/bremen/schnoorviertel,0.653,0.347,0.608,has_external_url,http://marcks.de/de/startseite/,https://en.wikivoyage.org/wiki/Bremen
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Gasworks Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-45.8935,170.502,Otago Museum,australiaandpacific/newzealand/south_island/otago/dunedin/otago_museum,0.593,3.772,2.161,has_external_url,https://www.gasworksmuseum.org.nz/,https://en.wikivoyage.org/wiki/Dunedin
asia/china/jilin/changchun,Changchun,Changchun,50,41,see,Changchun Confucius Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.8842053437,125.3447795375,Wenmiao Confucian Temple,asia/china/jilin/changchun/changchun_confucius_temple,0.64,2.16,11.734,has_external_url,http://www.ccwenmiao.com/,https://en.wikivoyage.org/wiki/Changchun
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,see,Illawarra Grevillea Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.329847,150.909212,Illawarra Escarpment,australiaandpacific/australia/newsouthwales/wollongong/illawarra_escarpment,0.591,12.82,10.607,has_external_url,https://illawarragrevilleapark.com.au/,https://en.wikivoyage.org/wiki/Wollongong
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Museum of African Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.7891,20.435,Museum of Contemporary Art,europe/serbia/belgrade/museum_of_contemporary_art,0.681,3.417,3.033,has_external_url,https://www.mau.rs/en/,https://en.wikivoyage.org/wiki/Belgrade
europe/hungary/sopron,Sopron,Sopron,9,234,see,Holy Trinity Column,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68625,16.59075,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.581,0.419,0.872,has_external_url,http://turizmus.sopron.hu/hu/info/latnivalok/szobrok/szentharomsagszobor.html,https://en.wikivoyage.org/wiki/Sopron
europe/finland/oulu,Oulu,Oulu,19,84,see,Oulu Catholic Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,65.044722,25.455556,Oulu Castle Ruins,europe/finland/oulu/oulu_castle,0.595,3.109,3.726,has_external_url,https://www.perhe.katolinen.fi/english,https://en.wikivoyage.org/wiki/Oulu
southamerica/uruguay/montevideo,Montevideo,Montevideo,26,137,see,Tile Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.90396,-56.18884,Carnival Museum,southamerica/uruguay/montevideo/carnival_museum,0.692,2.145,0.311,has_external_url,http://azulejo.montevideo.gub.uy,https://en.wikivoyage.org/wiki/Montevideo
