world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/utah/st_george,St. George,St. George (Utah),5,47,do,Red Rock Bicycle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.1068,-113.5927,Pioneer Park,northamerica/unitedstates/utah/st_george/pioneer_park,0.619,0.381,0.909,has_external_url,http://www.redrockbicycle.com,https://en.wikivoyage.org/wiki/St._George_%28Utah%29
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Derby,Derby,16,69,do,Derby Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.9202,-1.4715,Derby Cathedral,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby/derby_cathedral,0.714,0.643,0.483,has_external_url,https://www.derbytheatre.co.uk/,https://en.wikivoyage.org/wiki/Derby
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Museum of Technology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.2128,0.143,Museum of Archaeology and Anthropology,europe/unitedkingdom/england/eastern_england/cambridge/museum_of_archaeology,0.586,1.873,1.845,has_external_url,http://www.museumoftechnology.com/,https://en.wikivoyage.org/wiki/Cambridge
australiaandpacific/newzealand/north_island/waikato/waitomo,Waitomo,Waitomo,4,8,see,Aranui Cave,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-38.2652,175.0799,Gardner's Gut,australiaandpacific/newzealand/north_island/waikato/waitomo/gardners_gut,0.572,0.428,2.693,has_external_url,https://www.waitomo.com/experiences/aranui-cave,https://en.wikivoyage.org/wiki/Waitomo
europe/sweden/nykping,Nyköping,Nyköping,7,12,do,Sörmlandsleden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.72867,16.84147,Sörmland Museum,europe/sweden/nykping/sormland_museum,0.69,10.099,10.255,has_external_url,https://www.sormlandsleden.se/,https://en.wikivoyage.org/wiki/Nyk%C3%B6ping
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Christuskirche,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.31194,9.43322,Karlskirche,europe/germany/hessen/kassel/karlskirche,0.64,4.273,4.512,has_external_url,http://www.christuskirche-kassel.de/,https://en.wikivoyage.org/wiki/Kassel
europe/hungary/gyor,Győr,Győr,13,201,see,Dwelling House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6902,17.6357,Margit Kovács Ceramic Collection,europe/hungary/gyor/margit_kovacs_ceramic_collection,0.611,0.389,0.752,has_external_url,http://www.muemlekem.hu/muemlek?id=4196,https://en.wikivoyage.org/wiki/Gy%C5%91r
europe/unitedkingdom/england/south_east/brighton,Brighton,Brighton,15,141,see,Brighton Toy and Model Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.82865,-0.14093,North Laine,europe/unitedkingdom/england/south_east/brighton/north_laine,0.673,0.327,0.802,has_external_url,http://www.brightontoymuseum.co.uk/,https://en.wikivoyage.org/wiki/Brighton
europe/czechrepublic/ceskebudejovice,České Budějovice,České Budějovice,9,26,do,Alš South-Bohemian Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.051828,14.441497,South Bohemian Museum,europe/czechrepublic/ceskebudejovice/south_bohemian_museum,0.696,8.941,8.9,has_external_url,http://www.ajg.cz/,https://en.wikivoyage.org/wiki/%C4%8Cesk%C3%A9_Bud%C4%9Bjovice
europe/germany/bavaria/ingolstadt,Ingolstadt,Ingolstadt,8,44,do,Classical music open air,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.760915,11.432907,Stadttheater Ingolstadt,europe/germany/bavaria/ingolstadt/stadttheater,0.619,0.381,0.622,has_external_url,http://sommerkonzerte.de/,https://en.wikivoyage.org/wiki/Ingolstadt
europe/ireland/galway,Galway,Galway,11,67,see,Galway Atlantaquaria,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.2598,-9.0741,Galway Cathedral,europe/ireland/galway/galway_cathedral,0.611,2.045,2.327,has_external_url,https://www.nationalaquarium.ie,https://en.wikivoyage.org/wiki/Galway
