world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,do,The Shakespeare Festival,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.63802,-90.29066,Saint Louis Art Museum,northamerica/unitedstates/missouri/stlouis/stl_art_museum,0.681,0.319,8.021,has_external_url,https://www.sfstl.com/,https://en.wikivoyage.org/wiki/St._Louis
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Lutheran Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.52596,21.62496,St. Anne's Cathedral,europe/hungary/debrecen/st_annes_cathedral,0.607,0.393,0.61,has_external_url,http://degy.hu/,https://en.wikivoyage.org/wiki/Debrecen
europe/georgia/batumi,Batumi,Batumi,39,45,see,Remains of Gonio Fortress,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.573056,41.573611,Gonio-Apsaros Fortress,europe/georgia/batumi/gonio_apsaros_fortress,0.596,4.433,10.1,has_external_url,https://ajaraheritage.ge/en/museums/gonio-afsarosis-arqeologiur-arqiteqturuli-muzeum-nakrdzali/1,https://en.wikivoyage.org/wiki/Batumi
europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester,Chester,Chester,5,39,see,Grosvenor Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.18725,-2.89242,The Rows,europe/unitedkingdom/england/manchester_liverpool_and_north_west/chester/chester_rows,0.667,0.333,0.417,has_external_url,http://grosvenormuseum.westcheshiremuseums.co.uk/,https://en.wikivoyage.org/wiki/Chester
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,San Jose Museum of Quilts and Textiles,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3281,-121.884,San Jose Museum of Art,northamerica/unitedstates/california/san_jose/san_jose_museum_of_art,0.7,0.825,1.07,has_external_url,https://sj-mqt.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,see,Milwaukee County Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.030784,-88.040407,Milwaukee Art Museum,northamerica/unitedstates/wisconsin/milwaukee/milwaukee_art_museum,0.6,11.394,10.71,has_external_url,http://www.milwaukeezoo.org,https://en.wikivoyage.org/wiki/Milwaukee
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,see,Pinecone Burke Provincial Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.334835,-122.708524,Minnekhada Regional Park,northamerica/canada/britishcolumbia/vancouver/coquitlam/minnekhada_regional_park,0.593,3.836,8.283,has_external_url,https://bcparks.ca/pinecone-burke-park/,https://en.wikivoyage.org/wiki/Coquitlam
europe/hungary/sopron,Sopron,Sopron,9,234,see,Maria - Magdolna church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68231,16.55594,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.625,2.206,3.182,has_external_url,http://www.sopronikirandulas.hu/sopron/sopronbanfalva-maria_magdolna_templom.html,https://en.wikivoyage.org/wiki/Sopron
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Far Caves,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.43233,30.56309,Holodomor Victims Memorial,europe/ukraine/kyiv/holodomor_memorial,0.698,0.302,3.389,has_external_url,http://lavra.ua/index.php?option=com_content&task=view&id=1574&Itemid=182,https://en.wikivoyage.org/wiki/Kyiv
northamerica/unitedstates/alabama/birmingham,Birmingham,Birmingham (Alabama),59,74,do,The Virginia Samford Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.503289,-86.786978,Alabama Theatre,northamerica/unitedstates/alabama/birmingham/alabama_theatre,0.564,2.353,2.407,has_external_url,http://www.virginiasamfordtheatre.org,https://en.wikivoyage.org/wiki/Birmingham_%28Alabama%29
europe/netherlands/thehague,The Hague,The Hague,16,165,see,Nieuwe Kerk,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.07631,4.31566,Mauritshuis,europe/netherlands/thehague/mauritshuis,0.629,0.371,3.146,has_external_url,https://www.nieuwekerkdenhaag.nl/,https://en.wikivoyage.org/wiki/The_Hague
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,see,Museum of the Bizarre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.23261,-77.94904,Wilmington Historic District,northamerica/unitedstates/northcarolina/wilmington/wilmington_historic_district,0.689,0.311,0.863,has_external_url,https://museumbizarre.com/home,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
