world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/virginia/williamsburg,Williamsburg,Williamsburg,10,26,see,Yorktown Battlefield,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.22947,-76.50193,Wren Building,northamerica/unitedstates/virginia/williamsburg/wren_building,0.424,18.911,18.761,has_external_url,https://www.nps.gov/york/index.htm,https://en.wikivoyage.org/wiki/Williamsburg
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Behavioral Health Access & Crisis Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.1488,-77.63711,George Eastman Museum,northamerica/unitedstates/newyorkstate/rochester/george_eastman_museum,0.381,2.922,2.455,has_external_url,https://go.rochesterregional.org/bhacc/,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/canada/britishcolumbia/vanderhoof,Vanderhoof,Vanderhoof,4,13,do,Nechako Valley Exhibition,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.0444,-123.998,Nechako River Migratory Bird Sanctuary,northamerica/canada/britishcolumbia/vanderhoof/nechako_bird_sanctuary,0.476,3.148,3.054,has_external_url,https://www.nvesociety.com/,https://en.wikivoyage.org/wiki/Vanderhoof
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,83 Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.85353,128.566535,Donghwasa Temple,asia/southkorea/dae_gu/donghwasa_temple,0.25,17.002,3.717,has_external_url,https://eworld.kr/tower,https://en.wikivoyage.org/wiki/Daegu
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Suncor Energy Fluvarium,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.5799,-52.7326,Cape Spear,northamerica/canada/newfoundland/stjohns/capespear,0.303,10.523,2.537,has_external_url,http://fluvarium.ca/,https://en.wikivoyage.org/wiki/St._John%27s
europe/germany/saxonyanhalt/wernigerode,Wernigerode,Wernigerode,9,54,see,Steinerne Renne,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.810833,10.707083,Hasseröder Brewery,europe/germany/saxonyanhalt/wernigerode/hasseroder_brewery,0.424,4.95,6.04,has_external_url,http://www.harzlife.de/tip/steinerne-renne.html,https://en.wikivoyage.org/wiki/Wernigerode
northamerica/unitedstates/northdakota/fargo,Fargo,Fargo,5,66,do,Suite Shots,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.807226,-96.835638,Bonanzaville USA,northamerica/unitedstates/northdakota/fargo/bonanzaville,0.296,9.163,8.526,has_external_url,https://suiteshotsfargo.com/,https://en.wikivoyage.org/wiki/Fargo
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Sri Lanka,0.89,candidate,has coordinates; has description; high-value type; has external URL,22.2952231,91.775277,Foy's Lake,asia/bangladesh/chittagong/foys_lake,0.526,8.095,7.444,has_external_url,http://www.slhcdhaka.org/high_commission.php,https://en.wikivoyage.org/wiki/Chittagong
northamerica/unitedstates/missouri/stlouis,St. Louis,St. Louis,59,106,do,Off Broadway,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.59052,-90.21912,Cherokee Street,northamerica/unitedstates/missouri/stlouis/cherokee_street,0.473,0.527,4.403,has_external_url,http://www.offbroadwaystl.com/,https://en.wikivoyage.org/wiki/St._Louis
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,The Inhuman League,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.3825,-1.4623,Bishop's House,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/bishopshouse,0.357,3.308,0.561,has_external_url,https://www.facebook.com/inhumanleague/,https://en.wikivoyage.org/wiki/Sheffield
europe/spain/spanishcostas/valencia,Valencia,Valencia,42,222,do,Palau de la Música,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.46614,-0.36044,Dama Ibérica,europe/spain/spanishcostas/valencia/dama_iberica,0.5,0.626,1.418,has_external_url,https://www.palaumusica.cat/en,https://en.wikivoyage.org/wiki/Valencia
europe/latvia/daugavpils,Daugavpils,Daugavpils,7,30,do,Orange Bowling,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.873062,26.518426,Centre Bars,europe/latvia/daugavpils/centre_bars,0.418,0.582,0.257,has_external_url,http://www.klondaika.com/,https://en.wikivoyage.org/wiki/Daugavpils
europe/spain/catalonia/castello_de_ampurias,Castello d'Empuries,Castelló d'Empúries,5,13,do,Pitch & Putt Castelló Empuriabrava,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.25055,3.07385,Empuriabrava,europe/spain/catalonia/castello_de_ampurias/empuriabrava,0.511,3.527,0.867,has_external_url,https://golfcastello.com/,https://en.wikivoyage.org/wiki/Castell%C3%B3_d%27Emp%C3%BAries
europe/france/alpes/lyon,Lyon,Lyon,21,156,do,ASVEL,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.766389,4.907222,Vieux Lyon,europe/france/alpes/lyon/vieux_lyon,0.4,6.228,5.912,has_external_url,http://www.asvel.com,https://en.wikivoyage.org/wiki/Lyon
