world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/bulgaria/plovdiv,Plovdiv,Plovdiv,13,32,see,Plovdiv Regional Archaeological Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,42.1515,24.744972,Regional Ethnographic Museum,europe/bulgaria/plovdiv/ethnographic_museum,0.636,0.687,1.148,has_external_url,http://www.archaeologicalmuseumplovdiv.org/,https://en.wikivoyage.org/wiki/Plovdiv
northamerica/unitedstates/virginia/newportnews,Newport News,Newport News,12,18,do,Peninsula Community Theatre,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,37.03195,-76.460307,Peninsula Fine Arts Center,northamerica/unitedstates/virginia/newportnews/peninsula_fine_arts_center,0.566,4.533,6.634,has_external_url,http://pctlive.org/,https://en.wikivoyage.org/wiki/Newport_News
asia/india/karnataka/konkan_coast/mangalore,Mangalore,Mangalore,9,47,see,Mangaladevi Temple,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,12.8491,74.8432,Kalikamba Temple,asia/india/karnataka/konkan_coast/mangalore/kalikamba_temple,0.588,2.553,2.303,has_external_url,https://www.mangaladevitemple.com/,https://en.wikivoyage.org/wiki/Mangalore
europe/germany/saxony/hoyerswerda,Hoyerswerda,Hoyerswerda,3,17,see,Zoo Hoyerswerda,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,51.4382,14.2486,Hoyerswerda Castle,europe/germany/saxony/hoyerswerda/hoyerswerda_castle,0.667,0.547,0.553,has_external_url,http://www.kulturzoo-hy.de/,https://en.wikivoyage.org/wiki/Hoyerswerda
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,see,The Society of St. John The Evangelist: A Monastic Community of the Episcopal Church,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,42.37231,-71.12474,Brattle Theatre,northamerica/unitedstates/massachusetts/cambridge/brattle_theatre,0.59,0.41,1.86,has_external_url,http://www.ssje.org,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
northamerica/unitedstates/newyorkstate/saratoga,Saratoga Springs,Saratoga Springs,10,63,see,New York State Military Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,43.0829,-73.7813,Downtown Broadway,northamerica/unitedstates/newyorkstate/saratoga/broadway,0.696,0.304,0.336,has_external_url,http://www.nymilitarymuseum.org,https://en.wikivoyage.org/wiki/Saratoga_Springs
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth,Weymouth,Weymouth,6,14,see,Weymouth Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,50.60545,-2.452233,Weymouth Beach,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth/weymouth_beach,0.69,0.923,0.488,has_external_url,http://www.weymouthmuseum.org.uk/,https://en.wikivoyage.org/wiki/Weymouth
europe/germany/lowersaxony/east_frisian_islands/spiekeroog,Spiekeroog,Spiekeroog,3,14,see,New ev. Church,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,53.77106,7.70042,Alte Inselkirche,europe/germany/lowersaxony/east_frisian_islands/spiekeroog/alte_inselkirche,0.562,0.438,0.378,has_external_url,http://inselkirchespiekeroog.wir-e.de,https://en.wikivoyage.org/wiki/Spiekeroog
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,do,Goodyear Heights Metro Park,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,41.078,-81.451,Goodyear Airdock,northamerica/unitedstates/ohio/akron/goodyear_airdock,0.558,4.718,5.684,has_external_url,https://www.summitmetroparks.org/goodyear-heights-metro-park.aspx,https://en.wikivoyage.org/wiki/Akron
northamerica/unitedstates/michigan/flint,Flint,Flint,14,27,see,Flint Children's Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,43.014,-83.7117,Flint Farmers' Market,northamerica/unitedstates/michigan/flint/flint_farmers_market,0.558,1.815,1.975,has_external_url,https://flintchildrensmuseum.org/,https://en.wikivoyage.org/wiki/Flint
northamerica/canada/saskatchewan/swift_current,Swift Current,Swift Current,3,15,see,Swift Current Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,50.2977,-107.8003,Swift Current Museum & Visitor Centre,northamerica/canada/saskatchewan/swift_current/swift_current_museum,0.678,1.086,1.428,has_external_url,http://www.swiftcurrent.ca/divisions/community-services/culture/swift-current-museum,https://en.wikivoyage.org/wiki/Swift_Current
europe/estonia/tartu,Tartu,Tartu,16,89,do,Harbour Theatre,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,58.379615,26.734264,AHHAA Science Centre,europe/estonia/tartu/ahhaa_science_centre,0.675,0.325,0.358,has_external_url,http://www.vanemuine.ee/teater/teatrimajad/sadamateater/,https://en.wikivoyage.org/wiki/Tartu
northamerica/unitedstates/newjersey/newark,Newark,Newark,8,43,do,New Hope Baptist Church,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,40.746234,-74.179968,Cathedral Basilica of the Sacred Heart,northamerica/unitedstates/newjersey/newark/sacred_heart_cathedral,0.559,0.441,1.339,has_external_url,http://www.newhopenewark.org,https://en.wikivoyage.org/wiki/Newark
northamerica/unitedstates/arizona/lakehavasucity,Lake Havasu City,Lake Havasu City,3,11,see,Lake Havasu Museum of History,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,34.4769,-114.3506,Lake Havasu State Park,northamerica/unitedstates/arizona/lakehavasucity/lake_havasu_state_park,0.588,1.969,1.16,has_external_url,http://havasumuseum.com/,https://en.wikivoyage.org/wiki/Lake_Havasu_City
