world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/denmark/aalborg,Aalborg,Aalborg,5,49,see,Aalborg Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.041618,9.904929,Jens Bang's House,europe/denmark/aalborg/jens_bangs_house,0.333,1.283,1.129,has_external_url,http://aalborgtaarnet.dk,https://en.wikivoyage.org/wiki/Aalborg
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Marine Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.44393,139.6509,Chinatown (Chukagai),asia/japan/honshu/yokohama/chinatown,0.476,,1.654,has_external_url,https://marinetower.yokohama/,https://en.wikivoyage.org/wiki/Yokohama
europe/finland/turku,Turku,Turku,5,262,do,Parkki Artificial Ice Field,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.457,22.272,Turku Cathedral,europe/finland/turku/turku_cathedral,0.477,0.523,0.661,has_external_url,https://www.turku.fi/en/culture-and-sports/sports/sports-facilities/courts-and-fields/artificial-turf-fields,https://en.wikivoyage.org/wiki/Turku
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,see,Laura Secord Homestead,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.164322,-79.055339,Reif Estate Winery,northamerica/canada/ontario/niagara_on_the_lake/reif_estate_winery,0.35,5.947,10.244,has_external_url,https://www.niagaraparks.com/visit/heritage/laura-secord-homestead/,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake
europe/portugal/setubal,Setúbal,Setúbal,13,47,do,Vertigem Azul,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.51937,-8.89664,O Miguel,europe/portugal/setubal/o_miguel,0.463,0.537,0.611,has_external_url,https://www.vertigemazul.com/en/,https://en.wikivoyage.org/wiki/Set%C3%BAbal
europe/greece/athens,Athens,Athens,48,150,do,Athens Concert Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.98111,23.754164,A for Athens Rooftop Bar,europe/greece/athens/a_for_athens,0.537,2.588,1.803,has_external_url,https://www.megaron.gr,https://en.wikivoyage.org/wiki/Athens
asia/indonesia/java/purwokerto,Purwokerto,Purwokerto,10,65,do,Happy Puppy,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.427096402047374,109.24266124285298,Kopi Strip Unsoed,asia/indonesia/java/purwokerto/kopi_unsoed_strip,0.397,0.603,2.45,has_external_url,http://www.happy-puppy.co.id/,https://en.wikivoyage.org/wiki/Purwokerto
europe/hungary/szombathely,Szombathely,Szombathely,8,42,see,Vép,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.228,16.722,Fő tér,europe/hungary/szombathely/fo_ter,0.25,7.599,7.796,has_external_url,http://www.vep.hu/index.html,https://en.wikivoyage.org/wiki/Szombathely
europe/denmark/billund,Billund,Billund,6,25,see,Grene Sande,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.71497,9.0472,Lego House,europe/denmark/billund/lego_house,0.381,5.048,4.662,has_external_url,https://www.visitbillund.dk/ln-int/grene-sande-near-billund-gdk611741,https://en.wikivoyage.org/wiki/Billund
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Children's Musical Theater San Jose,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.33079,-121.88961,Clyde Arbuckle's History of San Jose,northamerica/unitedstates/california/sanjose/clyde_arbuckles_h,0.535,,0.604,has_external_url,http://www.cmtsj.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/germany/northrhinewestphalia/witten,Witten,Witten,5,20,do,Kaker Lakers,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.3948,7.28206,Witten/Herdecke University,europe/germany/northrhinewestphalia/witten/witten_herdecke_university,0.316,8.226,5.962,has_external_url,http://witten-kakerlakers.de/,https://en.wikivoyage.org/wiki/Witten
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,Putt Putt Fun Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.35029,-79.23198,Old City Cemetery,northamerica/unitedstates/virginia/lynchburg/old_city_cemetery,0.432,10.072,10.614,has_external_url,https://puttputt.com/lynchburg-va/,https://en.wikivoyage.org/wiki/Lynchburg
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,Nonini Winery,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.77387,-119.96932,Old Fresno Water Tower,northamerica/unitedstates/california/centralvalley/fresno/old_fresno_water_tower,0.343,16.679,16.879,has_external_url,https://www.noniniwines.com/,https://en.wikivoyage.org/wiki/Fresno
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,see,Leidsche Rijn Centrum,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.0979,5.06413,Rietveld-Schröder House,europe/netherlands/utrecht/rietveld_schroder_house,0.455,5.885,4.004,has_external_url,https://leidscherijncentrum.nl/,https://en.wikivoyage.org/wiki/Utrecht
northamerica/mexico/villahermosa,Villahermosa,Villahermosa,6,17,do,Yumká,0.89,candidate,has coordinates; has description; high-value type; has external URL,18.0001,-92.8122,Parque-Museo La Venta,northamerica/mexico/villahermosa/parque_museo_la_venta,0.182,14.064,13.223,has_external_url,https://www.facebook.com/ANPYumka/,https://en.wikivoyage.org/wiki/Villahermosa
northamerica/unitedstates/northcarolina/chapelhill,Chapel Hill,Chapel Hill,11,65,see,Back Alley Bikes,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.91011,-79.0668,Ackland Art Museum,northamerica/unitedstates/northcarolina/chapelhill/ackland_art_museum,0.412,1.49,1.049,has_external_url,http://www.backalleybikes.net,https://en.wikivoyage.org/wiki/Chapel_Hill
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Fjällnora naturistbad,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.830393126802,17.913534147161,Linnaeus's Hammarby,europe/sweden/uppsala/linnaeus_hammarby,0.35,6.796,15.669,has_external_url,https://www.uppsala.se/fjallnora,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/maryland/montgomerycounty/rockville,Rockville,Rockville,4,51,do,Lake Needwood Boats,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.116152,-77.128315,Rockville Town Square,northamerica/unitedstates/maryland/montgomerycounty/rockville/rockville_town_square,0.25,3.941,4.32,has_external_url,http://www.montgomeryparks.org/parks-and-trails/lake-needwood-boats/,https://en.wikivoyage.org/wiki/Rockville
asia/china/jiangxi/jiujiang,Jiujiang,Jiujiang,5,15,see,Lushan,0.89,candidate,has coordinates; has description; high-value type; has external URL,29.559484,115.99313,Xunyang Riverfront,asia/china/jiangxi/jiujiang/xunyang_riverfront,0.25,18.84,19.869,has_external_url,http://www.zhlushan.cn/,https://en.wikivoyage.org/wiki/Jiujiang
