world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/santarem,Santarém,Santarém (Brazil),4,23,do,Festa de Nossa Senhora da Conceição,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-2.41789,-54.71526,Floresta Nacional do Tapajós,southamerica/brazil/santarem/floresta_nacional_do_tapajos,0.441,103.058,2.877,needs_external_source,,https://en.wikivoyage.org/wiki/Santar%C3%A9m_%28Brazil%29
europe/italy/sicily/messina,Messina,Messina,6,32,see,Chiesa del Carmine,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.188571,15.550954,Church of Santissima Annunziata dei Catalani,europe/italy/sicily/messina/annunziata_dei_catalani,0.45,0.55,0.647,needs_external_source,,https://en.wikivoyage.org/wiki/Messina
northamerica/unitedstates/arizona/scottsdale,Scottsdale,Scottsdale (Arizona),18,37,see,LOVE sculpture by Robert Indiana,0.89,candidate,has coordinates; has description; high-value type; strong travel term,33.49237,-111.921724,Old Town Scottsdale,northamerica/unitedstates/arizona/scottsdale/old_town,0.546,0.454,0.448,needs_external_source,,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29
asia/indonesia/java/borobudur,Borobudur,Borobudur,5,10,see,Candi Mendut,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.604794,110.230028,Mendut Temple,asia/indonesia/java/borobudur/mendut_temple,0.48,0.633,2.913,needs_external_source,,https://en.wikivoyage.org/wiki/Borobudur
australiaandpacific/australia/newsouthwales/newcastle,Newcastle,Newcastle (New South Wales),16,75,see,King Edward Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-32.933954,151.779706,Christ Church Cathedral,australiaandpacific/australia/newsouthwales/newcastle/christ_church_cathedral,0.523,0.477,0.741,needs_external_source,,https://en.wikivoyage.org/wiki/Newcastle_%28New_South_Wales%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford,Lydford,Lydford,5,10,see,Public Toilet,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.64349,-4.10855,Brat Tor,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford/brat_tor,0.381,3.038,1.837,needs_external_source,,https://en.wikivoyage.org/wiki/Lydford
europe/norway/moss,Moss,Moss,5,13,do,Bjørnåsen nature reserve,0.89,candidate,has coordinates; has description; high-value type; strong travel term,59.483287,10.646953,Jeløya Peninsula,europe/norway/moss/jeloya_peninsula,0.35,3.781,7.664,needs_external_source,,https://en.wikivoyage.org/wiki/Moss
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Holiday Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.0389944088,110.2328647433,Qiongtai Academy,asia/china/hainanisland/haikou/qiongtai_academy,0.345,12.216,3.97,needs_external_source,,https://en.wikivoyage.org/wiki/Haikou
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,Park Klarenbeek,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.998522,5.924772,Korenmarkt,europe/netherlands/arnhem/korenmarkt,0.4,2.251,2.327,needs_external_source,,https://en.wikivoyage.org/wiki/Arnhem
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Hiking on Fushan,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.0888,120.4329,Qingdao Museum,asia/china/shandong_province/qingdao/qingdao_museum,0.467,5.433,5.549,needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao
asia/china/ningxia/shizuishan,Shizuishan,Shizuishan,2,13,see,Shizuishan Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.0324,106.3799,Shahu Lake,asia/china/ningxia/shizuishan/shahu_lake,0.37,27.078,2.661,needs_external_source,,https://en.wikivoyage.org/wiki/Shizuishan
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Flood Control Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.778714,126.611321,Unit 731 Museum,asia/china/heilongjiang/harbin/unit_731_museum,0.324,18.56,2.496,needs_external_source,,https://en.wikivoyage.org/wiki/Harbin
asia/china/innermongolia/manzhouli,Manzhouli,Manzhouli,4,41,see,Beihu Park (Manzhouli),0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.6201,117.3625,Hulun Lake (Dalai Lake),asia/china/innermongolia/manzhouli/hulun_lake,0.5,76.741,6.838,needs_external_source,,https://en.wikivoyage.org/wiki/Manzhouli
