world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Lick Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.341389,-121.642778,Olympic Black Power Statue,northamerica/unitedstates/california/san_jose/olympic_black_power_statue,0.476,21.144,21.916,has_external_url,http://ucolick.org/main/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/belize/sanignacio,San Ignacio,San Ignacio (Belize),12,44,see,Green Hills Butterfly Ranch,0.89,candidate,has coordinates; has description; high-value type; has external URL,17.09714,-88.97374,Green Iguana Conservation Project,northamerica/belize/sanignacio/green_iguana_project,0.367,12.094,12.209,has_external_url,https://www.greenhillsbelize.com/,https://en.wikivoyage.org/wiki/San_Ignacio_%28Belize%29
northamerica/unitedstates/nevada/bouldercity,Boulder City,Boulder City,14,14,do,Skydive Las Vegas,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.947222,-114.860278,Hoover Dam,northamerica/unitedstates/nevada/bouldercity/hoover_dam,0.348,13.428,4.244,has_external_url,http://www.skydivelasvegas.com,https://en.wikivoyage.org/wiki/Boulder_City
northamerica/unitedstates/delaware/wilmington,Wilmington,Wilmington (Delaware),15,36,see,Nemours Mansion & Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.7766,-75.558,Longwood Gardens,northamerica/unitedstates/delaware/wilmington/longwood_gardens,0.512,14.418,3.545,has_external_url,http://www.nemoursmansion.org/,https://en.wikivoyage.org/wiki/Wilmington_%28Delaware%29
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Tyntesfield,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.439899,-2.71199,The Nails,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/the_nails,0.375,8.237,8.097,has_external_url,https://www.nationaltrust.org.uk/tyntesfield/,https://en.wikivoyage.org/wiki/Bristol
europe/unitedkingdom/england/birmingham_and_west_midlands/stratforduponavon,Stratford-upon-Avon,Stratford-upon-Avon,6,20,see,Mary Arden's Farm,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.225,-1.76,Shakespeare's Birthplace,europe/unitedkingdom/england/birmingham_and_west_midlands/stratforduponavon/shakespeares_birthplace,0.341,4.944,5.201,has_external_url,https://www.shakespeare.org.uk/,https://en.wikivoyage.org/wiki/Stratford-upon-Avon
northamerica/unitedstates/wisconsin/wausau,Wausau,Wausau,7,15,do,Granite Peak Ski Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.9286,-89.6825,Grand Theater,northamerica/unitedstates/wisconsin/wausau/grand_theater,0.471,5.518,5.56,has_external_url,http://www.skigranitepeak.com/,https://en.wikivoyage.org/wiki/Wausau
europe/finland/hanko,Hanko,Hanko,8,28,see,Kuningatarvuori Lookout Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.819727,22.961061,Hanko Water Tower,europe/finland/hanko/water_tower,0.435,1.066,0.582,has_external_url,https://visithanko.fi/en/tuotesivu/lookout-tower/,https://en.wikivoyage.org/wiki/Hanko
northamerica/unitedstates/california/morgan_hill,Morgan Hill,Morgan Hill,4,19,do,Cinelux Theaters,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.11366,-121.63798,Henry W. Coe State Park,northamerica/unitedstates/california/morgan_hill/henry_w_coe,0.316,11.88,2.372,has_external_url,https://www.cineluxtheatres.com/cinelux-tennant-station,https://en.wikivoyage.org/wiki/Morgan_Hill
northamerica/unitedstates/kansas/kansascity,Kansas City,Kansas City,16,127,do,Ameristar Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.15013,-94.48455,American Jazz Museum,northamerica/unitedstates/kansas/kansascity/american_jazz_museum,0.444,8.071,9.804,has_external_url,https://www.ameristarkansascity.com/,https://en.wikivoyage.org/wiki/Kansas_City
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Dot Com,0.89,candidate,has coordinates; has description; high-value type; has external URL,22.361881,91.821631,Patenga Beach,asia/bangladesh/chittagong/patenga_beach,0.3,13.759,3.391,has_external_url,http://www.dotcombd.com,https://en.wikivoyage.org/wiki/Chittagong
europe/germany/hessen/darmstadt,Darmstadt,Darmstadt,10,54,see,Ludwigshöhe and Ludwigsturm,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.8432926,8.6606894,Mathildenhöhe Artists' Colony,europe/germany/hessen/darmstadt/mathildenhoehe,0.364,3.594,3.351,has_external_url,http://www.ludwigshoehe-darmstadt.de/,https://en.wikivoyage.org/wiki/Darmstadt
europe/croatia/zagreb,Zagreb,Zagreb,42,133,see,Jarun,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.781,15.921,La Štruk,europe/croatia/zagreb/la_struk,0.444,5.884,6.048,has_external_url,http://www.jarun.hr,https://en.wikivoyage.org/wiki/Zagreb
