world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/france/around_paris/versailles,Versailles,Versailles,52,27,see,Paroisse Saint Symphorien de Versailles,0.85,candidate,has coordinates; has description; high-value type,48.8041,2.14608,Gardens of Versailles,europe/france/around_paris/versailles/gardens_of_versailles,0.526,2.079,1.422,needs_external_source,,https://en.wikivoyage.org/wiki/Versailles
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Rock Yard,0.85,candidate,has coordinates; has description; high-value type,1.484674,103.74595,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.286,1.849,3.62,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
asia/china/shandong_province/rizhao,Rizhao,Rizhao,6,52,see,Rizhao Culture and Art Expo Center,0.85,candidate,has coordinates; has description; high-value type,35.4265,119.45025,Rizhao Ocean Park,asia/china/shandong_province/rizhao/rizhao_ocean_park,0.471,9.274,7.065,needs_external_source,,https://en.wikivoyage.org/wiki/Rizhao
asia/india/jammuandkashmir/ladakh/leh,Leh,Leh,11,31,see,Gurudwara Pathar Sahib,0.85,candidate,has coordinates; has description; high-value type,34.19163,77.37585,Srinagar - Leh,asia/india/jammuandkashmir/ladakh/leh/srinagar__leh,0.353,18.875,19.462,needs_external_source,,https://en.wikivoyage.org/wiki/Leh
asia/japan/shikoku/uwajima,Uwajima,Uwajima,4,15,see,Warei Shrine,0.85,candidate,has coordinates; has description; high-value type,33.229722,132.565278,Uwajima Castle,asia/japan/shikoku/uwajima/uwajima_castle,0.462,1.139,0.84,needs_external_source,,https://en.wikivoyage.org/wiki/Uwajima
europe/greece/volos,Volos,Volos,8,51,do,Achillion,0.85,candidate,has coordinates; has description; high-value type,39.35857,22.94871,Giorgio de Chirico Art Centre,europe/greece/volos/giorgio_de_chirico_centre,0.343,0.708,0.852,needs_external_source,,https://en.wikivoyage.org/wiki/Volos
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Rack Railway,0.85,candidate,has coordinates; has description; high-value type,48.76486753602072,9.168729232015103,Ackermann's Kneipe,europe/germany/badenwrttemberg/stuttgart/ackermanns_kniepe,0.4,0.897,1.722,needs_external_source,,https://en.wikivoyage.org/wiki/Stuttgart
europe/ukraine/lviv,Lviv,Lviv,12,176,see,Bus station No.2,0.85,candidate,has coordinates; has description; high-value type,49.86428,24.05123,Lonsky Prison Museum,europe/ukraine/lviv/lonsky_prison_museum,0.333,2.446,2.849,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,see,Zibo Passenger Transport Center,0.85,candidate,has coordinates; has description; high-value type,36.7915,118.0084,Zibo Museum of Ceramics,asia/china/shandong_province/zibo/zibo_ceramics_museum,0.481,3.815,3.815,needs_external_source,,https://en.wikivoyage.org/wiki/Zibo
southamerica/uruguay/montevideo,Montevideo,Montevideo,26,137,see,Fuente de los Candados,0.85,candidate,has coordinates; has description; high-value type,-34.90575,-56.18912,El Portón,southamerica/uruguay/montevideo/el_porton,0.465,0.535,0.2,needs_external_source,,https://en.wikivoyage.org/wiki/Montevideo
