world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/belgium/ghent,Ghent,Ghent,18,77,see,Rabot,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.060447,3.713158,Vrijdagmarkt,europe/belgium/ghent/vrijdagmarkt,0.353,0.954,1.108,has_external_url,http://www.rabot.be/,https://en.wikivoyage.org/wiki/Ghent
northamerica/unitedstates/virginia/virginiabeach,Virginia Beach,Virginia Beach,7,35,see,Naval Air Station Oceana Viewing Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.837778,-76.013269,First Landing State Park,northamerica/unitedstates/virginia/virginiabeach/first_landing_state_park,0.361,,3.564,has_external_url,https://www.cnic.navy.mil/regions/cnrma/installations/nas_oceana/about/visitor_information.html,https://en.wikivoyage.org/wiki/Virginia_Beach
australiaandpacific/australia/northernterritory/ulurukata_tjuta_n,Uluru-Kata Tjuta National Park,Uluṟu-Kata Tjuṯa National Park,10,18,do,Outback Cycling: Uluru Bike Ride,0.89,candidate,has coordinates; has description; high-value type; has external URL,-25.3593,131.0172,Talinguru Nyakunytjaku,australiaandpacific/australia/northernterritory/ulurukata_tjuta_n/talinguru_nyakunytjaku,0.415,5.327,2.581,has_external_url,https://www.outbackcycling.com/uluru-bike-ride,https://en.wikivoyage.org/wiki/Ulu%E1%B9%9Fu-Kata_Tju%E1%B9%AFa_National_Park
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,do,River Spirit Casino Resort,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.0319,-95.9539,Cain's Ballroom,northamerica/unitedstates/oklahoma/tulsa/cains_ballroom,0.341,14.735,14.268,has_external_url,http://www.riverspirittulsa.com/,https://en.wikivoyage.org/wiki/Tulsa
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,McPhillips Station Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.91971,-97.17131,Homer's Restaurant and Catering,northamerica/canada/manitoba/winnipeg/homers_restaurant,0.429,3.478,3.572,has_external_url,http://www.casinosofwinnipeg.com,https://en.wikivoyage.org/wiki/Winnipeg
europe/portugal/oporto,Oporto,Porto,15,65,do,FC Porto,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1618,-8.5839,Ponte de Dom Luís I,europe/portugal/oporto/dom_luis_bridge,0.333,3.225,2.562,has_external_url,https://www.fcporto.pt/en/,https://en.wikivoyage.org/wiki/Porto
northamerica/unitedstates/california/vallejo,Vallejo,Vallejo,5,20,do,RetroEdge Games,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.1048,-122.23105,Empress Theatre,northamerica/unitedstates/california/vallejo/empress_theatre,0.333,2.35,2.237,has_external_url,https://retroedgegames.com/,https://en.wikivoyage.org/wiki/Vallejo
australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua,Rotorua,Rotorua,10,32,see,Buried Village,0.89,candidate,has coordinates; has description; high-value type; has external URL,-38.21194,176.36353,Whakarewarewa Thermal Village,australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua/whakarewarewa_thermal_village,0.465,11.303,12.857,has_external_url,https://www.buriedvillage.co.nz/,https://en.wikivoyage.org/wiki/Rotorua
northamerica/nicaragua/len,León,León (Nicaragua),12,79,do,Cine Siglo Nuevo,0.89,candidate,has coordinates; has description; high-value type; has external URL,12.41919,-86.87142,Cerro Negro Volcano,northamerica/nicaragua/len/cerro_negro,0.457,20.774,1.857,has_external_url,https://psiglonuevo.com/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
australiaandpacific/newzealand/north_island/whanganui_region/newplymouth,New Plymouth,New Plymouth,7,16,do,WOMAD,0.89,candidate,has coordinates; has description; high-value type; has external URL,-39.069,174.0832,Pukekura Park,australiaandpacific/newzealand/north_island/whanganui_region/newplymouth/pukekura_park,0.392,0.608,1.244,has_external_url,http://www.womad.co.nz,https://en.wikivoyage.org/wiki/New_Plymouth
asia/indonesia/java/malang,Malang,Malang,4,30,see,Malang Night Paradise,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.9226,112.657,Museum Angkut,asia/indonesia/java/malang/museum_angkut,0.294,15.856,6.568,has_external_url,http://malangnightparadise.com,https://en.wikivoyage.org/wiki/Malang
