world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,MiWay,0.59,candidate,has description; high-value type; has external URL,,,City Centre,northamerica/canada/ontario/mississauga/city_centre,0.25,,,missing_coordinates; has_external_url,http://www.mississauga.ca/portal/miway,https://en.wikivoyage.org/wiki/Mississauga
northamerica/unitedstates/arizona/tempe,Tempe,Tempe,15,51,do,P.F. Chang's Rock'n'Roll Arizona Marathon and Half Marathon,0.59,candidate,has description; high-value type; has external URL,,,James Turrell Skyspace: Air Apparent,northamerica/unitedstates/arizona/tempe/air_apparent,0.344,,,missing_coordinates; has_external_url,https://www.runrocknroll.com/arizona,https://en.wikivoyage.org/wiki/Tempe
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Canadian International Comedy Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Ukrainian Cultural and Educational Centre,northamerica/canada/manitoba/winnipeg/ukrainian_cultural_centre,0.476,,,missing_coordinates; has_external_url,https://www.cicff.ca/,https://en.wikivoyage.org/wiki/Winnipeg
europe/finland/rauma,Rauma,Rauma,5,63,do,Blue Sea Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Old Rauma,europe/finland/rauma/old_rauma,0.323,,,missing_coordinates; has_external_url,http://www.blueseafilmfestival.net,https://en.wikivoyage.org/wiki/Rauma
northamerica/unitedstates/texas/houston,Houston,Houston,7,75,see,Guatemala,0.59,candidate,has description; high-value type; has external URL,,,Hermann Park,northamerica/unitedstates/texas/houston/hermann_park,0.381,,,missing_coordinates; has_external_url,http://www.conshouston.minex.gob.gt/,https://en.wikivoyage.org/wiki/Houston
europe/austria/vienna,Vienna,Vienna,67,134,see,Turanus.Shuttles,0.59,candidate,has description; high-value type; has external URL,,,Haus der Musik,europe/austria/vienna/haus_der_musik,0.4,,,missing_coordinates; has_external_url,http://www.turanus.com,https://en.wikivoyage.org/wiki/Vienna
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Austin Film Festival,0.59,candidate,has description; high-value type; has external URL,,,East 6th Street,northamerica/unitedstates/texas/austin/sixth_street_east,0.4,,,missing_coordinates; has_external_url,http://www.austinfilmfestival.com,https://en.wikivoyage.org/wiki/Austin
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,Carrousel Thanksgiving Day Parade,0.59,candidate,has description; high-value type; has external URL,,,NASCAR Hall of Fame,northamerica/unitedstates/northcarolina/charlotte/nascar_hall_of_fame,0.385,,,missing_coordinates; has_external_url,http://www.carrouselparade.org,https://en.wikivoyage.org/wiki/Charlotte
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Salvage Vanguard,0.59,candidate,has description; high-value type; has external URL,,,Zilker Park,northamerica/unitedstates/texas/austin/zilker_park,0.37,,,missing_coordinates; has_external_url,http://www.salvagevanguard.org,https://en.wikivoyage.org/wiki/Austin
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,do,Air show of Kecskemét,0.59,candidate,has description; high-value type; has external URL,,,Bozsó Collection,europe/hungary/kecskemet/bozso_collection,0.333,,,missing_coordinates; has_external_url,http://www.repulonap.hu/,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
northamerica/unitedstates/pennsylvania/carlisle,Carlisle,Carlisle (Pennsylvania),14,9,do,Weiss Center for the Arts,0.59,candidate,has description; high-value type; has external URL,,,Hessian Powder Magazine,northamerica/unitedstates/pennsylvania/carlisle/hessian_powder_magazine,0.364,,,missing_coordinates; has_external_url,https://www.dickinson.edu/info/20139/music/1836/weiss_center_for_the_arts,https://en.wikivoyage.org/wiki/Carlisle_%28Pennsylvania%29
europe/luxembourg/wasserbillig,Wasserbillig,Wasserbillig,4,18,do,Circular Walk of Mertert,0.59,candidate,has description; high-value type; has external URL,,,Moselle Wine Tasting,europe/luxembourg/wasserbillig/moselle_wine_cellar,0.273,,,missing_coordinates; has_external_url,http://www.visitluxembourg.com/en/place/walking/circular-walk-mertert,https://en.wikivoyage.org/wiki/Wasserbillig
