world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/srilanka/negombo,Negombo,Negombo,7,18,see,St. Sebastian Church,0.66,candidate,has coordinates; high-value type; strong travel term,7.21842,79.83916,St. Mary's Church,asia/srilanka/negombo/st_marys_church,0.686,1.071,1.056,needs_external_source,,https://en.wikivoyage.org/wiki/Negombo
europe/romania/pitesti,Pitești,Pitești,8,36,see,Meculești Church,0.66,candidate,has coordinates; high-value type; strong travel term,44.888609,24.83701,Armenian Church,europe/romania/pitesti/armenian_church,0.645,5.059,4.448,needs_external_source,,https://en.wikivoyage.org/wiki/Pite%C8%99ti
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Pattaya Beach,0.66,candidate,has coordinates; high-value type; strong travel term,12.9389,100.8835,Wong Amat Beach,asia/thailand/pattaya/wong_amat_beach,0.571,2.35,0.407,needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,St. Dominic Church,0.66,candidate,has coordinates; high-value type; strong travel term,40.816673,16.419785,Old Quarter,europe/italy/puglia/gravina_in_puglia/old_quarter_gravina,0.555,0.445,0.423,needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
northamerica/dominicanrepublic/santodomingo,Santo Domingo,Santo Domingo,24,55,see,Museum of Dominican Man,0.66,candidate,has coordinates; high-value type; strong travel term,18.472225,-69.908061,Memorial Museum of Dominican Resistance,northamerica/dominicanrepublic/santodomingo/museo_memorial_resistencia,0.71,1.865,2.887,needs_external_source,,https://en.wikivoyage.org/wiki/Santo_Domingo
europe/hungary/hortobagy,Hortobágy,Hortobágy,4,18,do,Nine hole bridge viewpoint,0.66,candidate,has coordinates; high-value type; strong travel term,47.5801321,21.148164,Nine-Arched Bridge,europe/hungary/hortobagy/nine_arched_bridge,0.636,0.451,0.429,needs_external_source,,https://en.wikivoyage.org/wiki/Hortob%C3%A1gy
asia/srilanka/polannaruwa,Polonnaruwa,Polonnaruwa,15,21,see,King Nissanka Malla's Palace,0.66,candidate,has coordinates; high-value type; strong travel term,7.942633,80.998858,Royal Palace of Parakramabahu I,asia/srilanka/polannaruwa/royal_palace,0.689,0.311,2.211,needs_external_source,,https://en.wikivoyage.org/wiki/Polonnaruwa
africa/malawi/nkhata_bay,Nkhata Bay,Nkhata Bay,10,18,see,beach,0.66,candidate,has coordinates; high-value type; strong travel term,-11.61861,34.3049,Chikale Beach,africa/malawi/nkhata_bay/chikale_beach,0.556,0.92,1.759,needs_external_source,,https://en.wikivoyage.org/wiki/Nkhata_Bay
europe/italy/lazio/gaeta__ulysses_ri,Gaeta,Gaeta,10,10,do,Serapo Beach,0.66,candidate,has coordinates; high-value type; strong travel term,41.2107,13.5646,Castello Aragonese,europe/italy/lazio/gaeta__ulysses_ri/castello_aragonese,0.611,0.389,0.566,needs_external_source,,https://en.wikivoyage.org/wiki/Gaeta
asia/turkey/kusadasi,Kuşadası,Kuşadası,9,15,do,Pigale Beach,0.66,candidate,has coordinates; high-value type; strong travel term,37.902,27.273,Ladies Beach (Kadınlar Denizi),asia/turkey/kusadasi/ladies_beach,0.667,6.863,4.919,needs_external_source,,https://en.wikivoyage.org/wiki/Ku%C5%9Fadas%C4%B1
asia/iran/shiraz,Shiraz,Shiraz,45,47,do,Jahan Nama Garden,0.66,candidate,has coordinates; high-value type; strong travel term,29.6289,52.5585,Afif-Abad Garden,asia/iran/shiraz/afif_abad_garden,0.667,5.844,3.239,needs_external_source,,https://en.wikivoyage.org/wiki/Shiraz
