world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/alberta/reddeer,Red Deer,Red Deer,7,46,see,Tourism Red Deer,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.261999,-113.854089,Fort Normandeau,northamerica/canada/alberta/reddeer/fort_normandeau,0.387,1.703,2.829,has_external_url,https://visitreddeer.com/,https://en.wikivoyage.org/wiki/Red_Deer
europe/germany/bavaria/freising,Freising,Freising,9,21,do,PLUS music festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.3884,11.7194,Diocesan Museum (Diözesanmuseum),europe/germany/bavaria/freising/diocesan_museum,0.353,2.31,2.28,has_external_url,http://www.prima-leben-und-stereo.de/,https://en.wikivoyage.org/wiki/Freising
europe/poland/zabrze,Zabrze,Zabrze,3,19,do,House of Music and Dance,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.3035,18.7763,Guido Mine and Coal Mining Museum,europe/poland/zabrze/guido_mine,0.421,1.726,0.914,has_external_url,https://www.dmit.com.pl/,https://en.wikivoyage.org/wiki/Zabrze
europe/portugal/arcos_de_valdevez,Arcos de Valdevez,Arcos de Valdevez,3,8,see,Miradouro dos Socalcos,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.9801,-8.3493,Church of Nossa Senhora da Lapa,europe/portugal/arcos_de_valdevez/nossa_senhora_da_lapa,0.377,15.848,15.831,has_external_url,https://www.visitarcos.pt/observe-a-natureza/miradouros/geo_artigo/miradouro-dos-socalcos-51,https://en.wikivoyage.org/wiki/Arcos_de_Valdevez
europe/unitedkingdom/england/south_east/portsmouth,Portsmouth,Portsmouth,46,77,see,Eastney Beam Engine House,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.789,-1.046,Royal Navy Submarine Museum,europe/unitedkingdom/england/south_east/portsmouth/royal_navy_submarine_museum,0.5,5.083,3.366,has_external_url,https://eastneyenginehouses.co.uk/,https://en.wikivoyage.org/wiki/Portsmouth
europe/bosniaandherzegovina/banjaluka,Banja Luka,Banja Luka,9,36,see,Mariastern Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,44.80667,17.22472,Vrbas River Rafting,europe/bosniaandherzegovina/banjaluka/vrbas_rafting,0.4,10.367,4.377,has_external_url,https://www.trapisti-banjaluka.org/,https://en.wikivoyage.org/wiki/Banja_Luka
northamerica/unitedstates/california/chulavista,Chula Vista,Chula Vista,15,37,do,Veterans of Foreign Wars Post 2111,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.631243,-117.075785,Sweetwater River Trail,northamerica/unitedstates/california/chulavista/sweetwater_river,0.357,3.865,1.257,has_external_url,https://vfwpost2111.com/,https://en.wikivoyage.org/wiki/Chula_Vista
northamerica/unitedstates/southcarolina/charleston,Charleston,Charleston (South Carolina),9,61,see,Middleton Place,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.9018,-80.1376,Charleston Museum,northamerica/unitedstates/southcarolina/charleston/charleston_museum,0.438,22.586,22.358,has_external_url,http://www.middletonplace.org/,https://en.wikivoyage.org/wiki/Charleston_%28South_Carolina%29
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Musée d'Art contemporain,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.784167,4.8525,Musée des Confluences,europe/france/alpes/lyon/confluences_museum,0.537,6.335,3.334,has_external_url,https://www.mac-lyon.com/fr,https://en.wikivoyage.org/wiki/Lyon
europe/unitedkingdom/england/eastern_england/huntingdon,Huntingdon,Huntingdon,4,22,do,Kimbolton Kart Circuit,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.316395,-0.37037,Old Bridge,europe/unitedkingdom/england/eastern_england/huntingdon/old_bridge_huntingdon,0.312,13.152,12.739,has_external_url,https://uk.kartdirectory.racing/circuit/kimbolton-kart-circuit/,https://en.wikivoyage.org/wiki/Huntingdon
southamerica/colombia/neiva,Neiva,Neiva,6,13,do,Sur Andino Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,2.92618,-75.28793,Festival Folclórico del Bambuco,southamerica/colombia/neiva/festival_bambuco,0.273,11.91,11.944,has_external_url,https://www.facebook.com/surandinocasino/?rf=637892179554274,https://en.wikivoyage.org/wiki/Neiva
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,do,Widgeon Valley National Wildlife Area (NWA),0.89,candidate,has coordinates; has description; high-value type; has external URL,49.3694,-122.6333,Minnekhada Regional Park,northamerica/canada/britishcolumbia/vancouver/coquitlam/minnekhada_regional_park,0.393,8.771,14.916,has_external_url,https://www.canada.ca/en/environment-climate-change/services/national-wildlife-areas/locations/widgeon-valley.html,https://en.wikivoyage.org/wiki/Coquitlam
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,do,Cineworld,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.865,-4.2545,Glasgow School of Art,europe/unitedkingdom/scotland/glasgow/school_of_art,0.546,0.454,0.506,has_external_url,https://www.cineworld.co.uk/cinemas/glasgow-renfrew-street/,https://en.wikivoyage.org/wiki/Glasgow
