world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/tenby,Tenby,Tenby,14,27,do,Heatherton World of Activities,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.688226,-4.76489,St Catherine's Island and Fort,europe/unitedkingdom/wales/tenby/st_catherines_island,0.4,5.381,4.477,has_external_url,http://www.heatherton.co.uk/,https://en.wikivoyage.org/wiki/Tenby
northamerica/unitedstates/massachusetts/cambridge,Cambridge,Cambridge (Massachusetts),13,112,do,Plough and Stars,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.368222,-71.108844,Harvard Square,northamerica/unitedstates/massachusetts/cambridge/harvard_square,0.467,0.994,0.493,has_external_url,http://www.ploughandstars.com/,https://en.wikivoyage.org/wiki/Cambridge_%28Massachusetts%29
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,see,Glass City River Wall,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.6394,-83.5255,Maumee River Waterfront,northamerica/unitedstates/ohio/toledo/maumee_river_waterfront,0.455,1.368,1.818,has_external_url,https://glasscityriverwall.org/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
northamerica/unitedstates/california/yountville,Yountville,Yountville,10,13,do,Goosecross Cellars,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.426906,-122.353465,Bistro Jeanty,northamerica/unitedstates/california/yountville/bistro_jeanty,0.387,2.935,2.797,has_external_url,http://www.goosecross.com,https://en.wikivoyage.org/wiki/Yountville
europe/unitedkingdom/england/south_east/gillingham,Gillingham,Gillingham (Kent),8,10,do,John Nike Leisuresport,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.35569,0.55963,Chatham Naval Memorial,europe/unitedkingdom/england/south_east/gillingham/chatham_naval_memorial,0.318,3.641,3.626,has_external_url,http://www.jnlchatham.co.uk,https://en.wikivoyage.org/wiki/Gillingham_%28Kent%29
northamerica/unitedstates/maryland/montgomerycounty/rockville,Rockville,Rockville,4,51,do,Croydon Creek Nature Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.087229,-77.126515,St. Mary's Church and Fitzgerald Graves,northamerica/unitedstates/maryland/montgomerycounty/rockville/st_marys_church,0.338,1.74,2.255,has_external_url,http://www.rockvillemd.gov/index.aspx?NID=380,https://en.wikivoyage.org/wiki/Rockville
asia/japan/honshu/yokohama,Yokohama,Yokohama,7,98,see,Landmark Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.454722,139.631667,Chinatown (Chukagai),asia/japan/honshu/yokohama/chinatown,0.435,,0.551,has_external_url,http://www.yokohama-landmark.jp/,https://en.wikivoyage.org/wiki/Yokohama
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,see,Cemeti Art House,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.8176,110.3625,Kereta Kraton,asia/indonesia/java/yogyakarta/kerata_kraton,0.414,1.295,2.448,has_external_url,http://www.cemetiarthouse.com,https://en.wikivoyage.org/wiki/Yogyakarta
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,see,Alexandria National Cemetery,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.8019,-77.0583,Alexandria Black History Museum,northamerica/unitedstates/virginia/alexandria/alexandria_black_history_museum,0.542,2.313,1.042,has_external_url,https://www.cem.va.gov/cems/nchp/alexandriava.asp,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
asia/philippines/baler,Baler,Baler,4,46,see,Ermita Hill,0.89,candidate,has coordinates; has description; high-value type; has external URL,15.7544,121.5809,Ditumabo Falls,asia/philippines/baler/ditumabo_falls,0.48,8.828,2.014,has_external_url,https://www.facebook.com/BalerBirthPlaceofPhilippineSurfing/posts/ermita-hill-a-land-of-hopeermita-hill-is-part-of-the-1966-hectares-of-land-situa/1860398657367281/,https://en.wikivoyage.org/wiki/Baler
northamerica/canada/britishcolumbia/tofino,Tofino,Tofino,6,46,do,Surf Sister,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.14981,-125.89657,Meares Island,northamerica/canada/britishcolumbia/tofino/meares_island,0.333,4.305,0.688,has_external_url,https://www.surfsister.com/,https://en.wikivoyage.org/wiki/Tofino
europe/spain/cantabria/santillana_del_mar,Santillana del Mar,Santillana del Mar,6,17,see,Cuevas del Monte Castillo,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.2907,-3.9659,Zoo de Santillana del Mar,europe/spain/cantabria/santillana_del_mar/zoo_santillana,0.359,14.961,16.016,has_external_url,https://cuevas.culturadecantabria.com/,https://en.wikivoyage.org/wiki/Santillana_del_Mar
