world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,see,Llangollen Motor Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.9839,-3.18472,Valle Crucis Abbey,europe/unitedkingdom/wales/llangollen/valle_crucis_abbey,0.441,0.559,1.757,has_external_url,http://www.llangollenmotormuseum.co.uk,https://en.wikivoyage.org/wiki/Llangollen
europe/bosniaandherzegovina/jajce,Jajce,Jajce,0,7,see,Underground church - Catacombs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.33953,17.26828,,,0.0,,0.182,has_external_url,http://www.visitjajce.com/index.php/en/heritage/underground-church,https://en.wikivoyage.org/wiki/Jajce
asia/china/guizhou/guiyang,Guiyang,Guiyang,9,25,do,Guiyang Happy World,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,26.67529,106.63661,Qianming Temple,asia/china/guizhou/guiyang/qianming_temple,0.412,13.747,12.803,has_external_url,http://www.gyhappyworld.com/,https://en.wikivoyage.org/wiki/Guiyang
europe/sweden/helsingborg,Helsingborg,Helsingborg,9,27,see,Museum of Failure,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.0405102,12.7022048,Dunkers Kulturhus,europe/sweden/helsingborg/dunkers_kulturhus,0.353,1.144,0.421,has_external_url,http://museumoffailure.se/,https://en.wikivoyage.org/wiki/Helsingborg
europe/greece/vergina,Vergina,Vergina,3,6,see,Central Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.49386,22.30651,Ancient Theatre of Aigai,europe/greece/vergina/ancient_theatre,0.316,1.992,1.182,has_external_url,https://www.aigai.gr/en/polycentric-museum-of-aigai-central-museum-building,https://en.wikivoyage.org/wiki/Vergina
asia/kyrgyzstan/osh,Osh,Osh,14,20,see,Russian Orthodox Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.51596,72.80631,Sulaiman-Too Museum,asia/kyrgyzstan/osh/sulaiman_too_museum,0.476,2.366,1.523,has_external_url,https://www.facebook.com/%D0%A5%D1%80%D0%B0%D0%BC-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0-%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%B0-%D0%B3%D0%9E%D1%88-191122504362979/,https://en.wikivoyage.org/wiki/Osh
northamerica/unitedstates/newjersey/trenton,Trenton,Trenton,11,34,see,Grounds for Sculpture,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.23569,-74.71761,New Jersey State House,northamerica/unitedstates/newjersey/trenton/new_jersey_state_house,0.326,4.442,4.442,has_external_url,http://www.groundsforsculpture.org/,https://en.wikivoyage.org/wiki/Trenton
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,do,Kekaha Kai State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.7922,-156.025,Ocean Rider Seahorse Farm,northamerica/unitedstates/hawaii/kailuakona/ocean_rider_seahorse_farm,0.478,9.989,16.969,has_external_url,http://dlnr.hawaii.gov/dsp/parks/hawaii/kekaha-kai-kona-coast-state-park/,https://en.wikivoyage.org/wiki/Kailua-Kona
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,do,Akron RubberDucks,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.0779,-81.5222,Akron Art Museum,northamerica/unitedstates/ohio/akron/akron_art_museum,0.545,0.658,0.653,has_external_url,https://www.milb.com/akron,https://en.wikivoyage.org/wiki/Akron
northamerica/unitedstates/florida/thepanhandle/tallahassee,Tallahassee,Tallahassee,8,53,see,Mission San Luis de Apalache,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.449089,-84.319906,St. Marks Trail,northamerica/unitedstates/florida/thepanhandle/tallahassee/st_marks_trail,0.359,15.152,3.952,has_external_url,https://www.missionsanluis.org/,https://en.wikivoyage.org/wiki/Tallahassee
europe/netherlands/deefteling,De Efteling,Efteling,0,7,do,Fairy Tale Forest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.650806,5.046716,,,0.0,,0.34,has_external_url,https://www.eftelingtickets.com/fairytale-forest,https://en.wikivoyage.org/wiki/Efteling
