world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Papalimani,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.7836,24.6685,Ypsario Mountain,europe/greece/thassos_island/ypsario_mountain,0.462,9.449,11.121,has_external_url,https://www.emtgreece.com/en/beaches/papalimani-beach,https://en.wikivoyage.org/wiki/Thasos
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth,Weymouth,Weymouth,6,14,see,Radipole Lake,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.625278,-2.466944,Isle of Portland,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth/isle_of_portland,0.414,9.805,1.954,has_external_url,https://www.rspb.org.uk/reserves-and-events/reserves-a-z/radipole-lake,https://en.wikivoyage.org/wiki/Weymouth
southamerica/brazil/ilhabela,Ilhabela,Ilhabela,11,26,do,Bonete Jungle Trail,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-23.9131,-45.3453,Praia do Bonete,southamerica/brazil/ilhabela/praia_do_bonete,0.435,0.565,10.988,has_external_url,https://www.openstreetmap.org/relation/9438522,https://en.wikivoyage.org/wiki/Ilhabela
europe/finland/joensuu,Joensuu,Joensuu,5,32,see,Sinkkola petting zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,62.624247,29.691141,Koli National Park,europe/finland/joensuu/koli_national_park,0.368,54.049,4.478,has_external_url,https://www.joensuu.fi/sinkkola,https://en.wikivoyage.org/wiki/Joensuu
europe/netherlands/thehague,The Hague,The Hague,16,165,do,Park Clingendael,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.100376,4.334278,Scheveningen Beach,europe/netherlands/thehague/scheveningen,0.412,4.152,5.242,has_external_url,https://denhaag.com/en/clingendael,https://en.wikivoyage.org/wiki/The_Hague
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Lyceum Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.3805,-1.46659,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.296,1.087,0.24,has_external_url,http://www.sheffieldtheatres.co.uk/,https://en.wikivoyage.org/wiki/Sheffield
asia/philippines/makati,Makati,Makati,9,59,see,Ayala Triangle Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.55638,121.02333,Ayala Museum,asia/philippines/makati/ayala_museum,0.452,,0.245,has_external_url,http://www.ayalatriangle.com/,https://en.wikivoyage.org/wiki/Makati
europe/austria/bludenz,Bludenz,Bludenz,4,34,do,Walderlebnispfad Marul,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.21,9.84,Muttersberg Cable Car,europe/austria/bludenz/muttersberg,0.326,4.956,6.48,has_external_url,https://www.vorarlberg-alpenregion.at/de/tours/walderlebnispfad-marul.html,https://en.wikivoyage.org/wiki/Bludenz
northamerica/canada/alberta/coldlake,Cold Lake,Cold Lake,6,17,see,Kinosoo Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.47292,-110.18949,Kinosoo Ridge Ski Resort,northamerica/canada/alberta/coldlake/kinosoo_ridge_ski_resort,0.486,2.957,1.399,has_external_url,https://www.travelalberta.com/ca/listings/kinosoo-beach-5727/,https://en.wikivoyage.org/wiki/Cold_Lake
northamerica/unitedstates/nebraska/omaha,Omaha,Omaha,10,120,do,Shelterbelt Theatre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.26469,-95.96099,Joslyn Art Museum,northamerica/unitedstates/nebraska/omaha/joslyn_art_museum,0.446,0.554,2.002,has_external_url,http://www.shelterbelt.org/,https://en.wikivoyage.org/wiki/Omaha
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth,Plymouth,Plymouth (England),13,55,do,Plym Valley Railway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.394166,-4.081908,City Museum and Art Gallery,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/plymouth/city_museum_and_art_gallery,0.391,4.592,4.98,has_external_url,http://www.plymrail.co.uk/,https://en.wikivoyage.org/wiki/Plymouth_%28England%29
