world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/hawaii/lanai,Lanai,Lanai,9,15,do,Lanai Cat Sanctuary,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Lanai City,northamerica/unitedstates/hawaii/lanai/lanai_city,0.621,,,missing_coordinates; has_external_url,http://lanaicatsanctuary.org/,https://en.wikivoyage.org/wiki/Lanai,candidate score 0.48 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Museu de Imagem e Som de Campinas,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Mercadão de Campinas,southamerica/brazil/campinas/mercadao_campinas,0.636,,,missing_coordinates; has_external_url,http://www.miscampinas.com.br/,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.48 is below the 6.0 POI threshold
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Allt Ljus på Uppsala,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Old Uppsala,europe/sweden/uppsala/old_uppsala,0.6,,,missing_coordinates; has_external_url,https://www.alltljuspauppsala.se/en/,https://en.wikivoyage.org/wiki/Uppsala,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,Sporting Kansas City II,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kansas City Zoo,northamerica/unitedstates/missouri/kansascity/kansas_city_zoo,0.632,,,missing_coordinates; has_external_url,https://sportingkc.com/sportingkcii,https://en.wikivoyage.org/wiki/Kansas_City,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Santa Fe Indian Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Santa Fe Botanical Garden,northamerica/unitedstates/newmexico/santafe/santa_fe_botanical_garden,0.638,,,missing_coordinates; has_external_url,https://www.swaia.org/,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,do,Doors Open Hamilton,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Art Gallery of Hamilton,northamerica/canada/ontario/hamilton/art_gallery,0.571,,,missing_coordinates; has_external_url,http://www.doorsopenontario.on.ca/Events/Hamilton.aspx,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool,Liverpool,Liverpool,52,182,do,Everyman Theatre Liverpool,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Tate Liverpool,europe/unitedkingdom/england/manchester_liverpool_and_north_west/liverpool/tate_liverpool,0.7,,,missing_coordinates; has_external_url,http://www.everymanplayhouse.com/,https://en.wikivoyage.org/wiki/Liverpool,candidate score 0.48 is below the 6.0 POI threshold
europe/serbia/belgrade,Belgrade,Belgrade,16,93,see,Chocolate Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Nikola Tesla Museum,europe/serbia/belgrade/nikola_tesla_museum,0.686,,,missing_coordinates; has_external_url,https://muzejcokoladebeograd.rs/,https://en.wikivoyage.org/wiki/Belgrade,candidate score 0.48 is below the 6.0 POI threshold
europe/croatia/dubrovnik,Dubrovnik,Dubrovnik,21,80,do,Dubrovnik Summer Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Dubrovnik Cathedral,europe/croatia/dubrovnik/dubrovnik_cathedral,0.591,,,missing_coordinates; has_external_url,http://www.dubrovnik-festival.hr,https://en.wikivoyage.org/wiki/Dubrovnik,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/lakeplacid,Lake Placid,Lake Placid,9,36,see,Lake Placid Center for the Arts,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Lake Placid (the Lake),northamerica/unitedstates/newyorkstate/lakeplacid/lake_placid_lake,0.579,,,missing_coordinates; has_external_url,http://www.lakeplacidarts.org,https://en.wikivoyage.org/wiki/Lake_Placid,candidate score 0.48 is below the 6.0 POI threshold
europe/denmark/mon,Møn,Møn,12,9,see,Liselund Castle,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Liselund Park,europe/denmark/mon/liselund_park,0.714,,,missing_coordinates; has_external_url,http://en.natmus.dk/museums/liselund/,https://en.wikivoyage.org/wiki/M%C3%B8n,candidate score 0.48 is below the 6.0 POI threshold
europe/poland/kielce,Kielce,Kielce,11,16,see,The Kielce Village Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Kielce Boar Monument,europe/poland/kielce/kielce_boar,0.585,,,missing_coordinates; has_external_url,http://mwk.com.pl/,https://en.wikivoyage.org/wiki/Kielce,candidate score 0.48 is below the 6.0 POI threshold
