world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,do,The Great Plein Air Paint-out: The Grand Patrons' Party,0.59,candidate,has description; high-value type; strong travel term,,,Riverfront Park,northamerica/unitedstates/florida/thepanhandle/apalachicola/riverfront_park,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Apalachicola,candidate score 0.59 is below the 6.0 POI threshold
northamerica/thecaribbean/puertorico/bayamon,Bayamón,Bayamón,11,40,do,Paseo Lineal,0.59,candidate,has description; high-value type; strong travel term,,,Parque de las Ciencias Luis A. Ferré,northamerica/thecaribbean/puertorico/bayamon/parque_de_las_ciencias,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bayam%C3%B3n,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/hessen/darmstadt,Darmstadt,Darmstadt,10,54,see,Schloss (Palace),0.59,candidate,has description; high-value type; strong travel term,,,Hessisches Landesmuseum Darmstadt,europe/germany/hessen/darmstadt/hessisches_landesmuseum,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Darmstadt,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/brandenburg/wittenberg,Wittenberg,Wittenberg,6,25,see,Ferropolis,0.59,candidate,has description; high-value type; strong travel term,,,Lutherhaus,europe/germany/brandenburg/wittenberg/lutherhaus,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wittenberg,candidate score 0.59 is below the 6.0 POI threshold
asia/india/westbengal/darjeeling,Darjeeling,Darjeeling,15,45,see,Mahakal Mandir,0.59,candidate,has description; high-value type; strong travel term,,,Mahakal Temple and Observatory Hill,asia/india/westbengal/darjeeling/mahakal_temple,0.531,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Darjeeling,candidate score 0.59 is below the 6.0 POI threshold
africa/tanzania/zanzibar/stonetown,Stone Town,Stone Town,15,29,see,Changuu Island,0.59,candidate,has description; high-value type; strong travel term,,,Sultan's Palace (Palace Museum),africa/tanzania/zanzibar/stonetown/sultans_palace,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stone_Town,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/petchburi,Petchburi,Phetchaburi,5,7,see,Khao Wang Palace,0.59,candidate,has description; high-value type; strong travel term,,,Tham Khao Luang,asia/thailand/petchburi/tham_khao_luang,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phetchaburi,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/tennessee/clarksville,Clarksville,Clarksville (Tennessee),8,24,see,Sevier Station,0.59,candidate,has description; high-value type; strong travel term,,,Austin Peay State University,northamerica/unitedstates/tennessee/clarksville/austin_peay_state_university,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Clarksville_%28Tennessee%29,candidate score 0.59 is below the 6.0 POI threshold
asia/india/westbengal/asansol,Asansol,Asansol,7,17,do,Panifala,0.59,candidate,has description; high-value type; strong travel term,,,Panchet Dam,asia/india/westbengal/asansol/panchet_dam,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Asansol,candidate score 0.59 is below the 6.0 POI threshold
europe/romania/deva,Deva,Deva,8,33,see,Saint Nicholas Orthodox Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Micia Roman Site,europe/romania/deva/micia_roman_site,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Salto de San Anton,0.59,candidate,has description; high-value type; strong travel term,,,Jardín Borda,northamerica/mexico/cuernavaca/jardin_borda,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/romanticroad/weikersheim,Weikersheim,Weikersheim,2,7,see,Tauberland village museum,0.59,candidate,has description; high-value type; strong travel term,,,Marktplatz and Town Church,europe/germany/bavaria/romanticroad/weikersheim/marktplatz,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Weikersheim,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/kailuakona,Kailua-Kona,Kailua-Kona,12,40,see,Green Sand Beach,0.59,candidate,has description; high-value type; strong travel term,,,Hulihee Palace,northamerica/unitedstates/hawaii/kailuakona/hulihee_palace,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kailua-Kona,candidate score 0.59 is below the 6.0 POI threshold
