world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/japan/honshu/hakone,Hakone,Hakone,15,17,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,Hakone Shrine,asia/japan/honshu/hakone/hakone_shrine,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hakone,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/rosenheim,Rosenheim,Rosenheim,3,10,see,Holy Blood,0.59,candidate,has description; high-value type; strong travel term,,,Herbstfest,europe/germany/bavaria/rosenheim/herbstfest,0.2,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rosenheim,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/grandjunction,Grand Junction,Grand Junction,4,56,do,Riggs Hill dinosaur hiking trails,0.59,candidate,has description; high-value type; strong travel term,,,Palisade Wine Country,northamerica/unitedstates/colorado/grandjunction/palisade_wine_country,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grand_Junction,candidate score 0.59 is below the 6.0 POI threshold
asia/india/madhyapradesh/jabalpur,Jabalpur,Jabalpur,7,17,see,Khandaari Jalashay Water Works,0.59,candidate,has description; high-value type; strong travel term,,,Madan Mahal Fort,asia/india/madhyapradesh/jabalpur/madan_mahal_fort,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jabalpur,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/andalucia/antequera,Antequera,Antequera,5,9,see,Royal Collegiate Church of Santa María la Mayor,0.59,candidate,has description; high-value type; strong travel term,,,Alcazaba of Antequera,europe/spain/andalucia/antequera/alcazaba_of_antequera,0.413,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Antequera,candidate score 0.59 is below the 6.0 POI threshold
asia/india/punjab/amritsar,Amritsar,Amritsar,10,63,see,Baba Atal Rai Tower,0.59,candidate,has description; high-value type; strong travel term,,,Akal Takht,asia/india/punjab/amritsar/akal_takht,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Amritsar,candidate score 0.59 is below the 6.0 POI threshold
southamerica/chile/puertovaras,Puerto Varas,Puerto Varas,13,5,see,Sacred Heart of Jesus Church,0.59,candidate,has description; high-value type; strong travel term,,,Saltos del Petrohué,southamerica/chile/puertovaras/saltos_petrohue,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Puerto_Varas,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Juan Soriano Museum of Contemporary Art,0.59,candidate,has description; high-value type; strong travel term,,,Jardín Etnobotánico y Museo de Medicina Tradicional,northamerica/mexico/cuernavaca/jardin_etnobotanico,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca,candidate score 0.59 is below the 6.0 POI threshold
africa/ethiopia/axum,Axum,Axum,8,13,see,Enda Iyesus Church,0.59,candidate,has description; high-value type; strong travel term,,,Mai Shum (Queen of Sheba's Bath),africa/ethiopia/axum/queen_sheba_bath,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Axum,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/santos,Santos,Santos,20,28,see,Church of Embaré,0.59,candidate,has description; high-value type; strong travel term,,,Basilica of Santo Antônio do Embaré,southamerica/brazil/santos/santo_antonio_embare,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Santos,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/xanthi,Xanthi,Xanthi,5,26,do,Old town festival,0.59,candidate,has description; high-value type; strong travel term,,,Xanthi Old Town,europe/greece/xanthi/old_town,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xanthi,candidate score 0.59 is below the 6.0 POI threshold
southamerica/brazil/joinville,Joinville,Joinville,11,27,see,Caiera Park,0.59,candidate,has description; high-value type; strong travel term,,,Bierland Cervejaria,southamerica/brazil/joinville/bierland,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Joinville,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/puglia/bari,Bari,Bari,7,45,see,Church of Santa Chiara,0.59,candidate,has description; high-value type; strong travel term,,,Basilica di San Nicola,europe/italy/puglia/bari/basilica_san_nicola,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bari,candidate score 0.59 is below the 6.0 POI threshold
europe/sweden/karlskrona,Karlskrona,Karlskrona,12,20,do,Go Swimming!,0.59,candidate,has description; high-value type; strong travel term,,,Björkholmen,europe/sweden/karlskrona/bjorkholmen,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karlskrona,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/nongkhai,Nong Khai,Nong Khai,6,42,do,Rocket Festivals,0.59,candidate,has description; high-value type; strong travel term,,,Nagarina Restaurant,asia/thailand/nongkhai/nagarina,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nong_Khai,candidate score 0.59 is below the 6.0 POI threshold
europe/latvia/ventspils,Ventspils,Ventspils,12,26,do,Walk and play on the beach. Take a dip in the sea,0.59,candidate,has description; high-value type; strong travel term,,,Ventspils City Beach,europe/latvia/ventspils/city_beach,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ventspils,candidate score 0.59 is below the 6.0 POI threshold
asia/iraq/baghdad,Baghdad,Baghdad,7,78,see,Sayidat al-Nejat Cathedral,0.59,candidate,has description; high-value type; strong travel term,,,Abbasid Palace,asia/iraq/baghdad/abbasid_palace,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baghdad,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/australia/westernaustralia/albany,Albany,Albany (Western Australia),15,46,see,Residency Museum,0.59,candidate,has description; high-value type; strong travel term,,,The Earl of Spencer,australiaandpacific/australia/westernaustralia/albany/the_earl_of_spencer,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Albany_%28Western_Australia%29,candidate score 0.59 is below the 6.0 POI threshold
asia/srilanka/galle,Galle,Galle,21,42,see,Southern Expressway bus,0.59,candidate,has description; high-value type; strong travel term,,,Dutch Government House (Amangalla),asia/srilanka/galle/dutch_government_house,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Galle,candidate score 0.59 is below the 6.0 POI threshold
europe/serbia/kosovoprovince/gjakova,Gjakova,Gjakova,5,58,see,Prizren,0.59,candidate,has description; high-value type; strong travel term,,,Çarshia e Gjatë (The Long Bazaar),europe/serbia/kosovoprovince/gjakova/carshe_e_gjate,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gjakova,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shandong_province/penglai,Penglai,Penglai,5,14,see,Longzhaoshan National Geological Park,0.59,candidate,has description; high-value type; strong travel term,,,Changyu International Wine City,asia/china/shandong_province/penglai/changyu_winery,0.441,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Penglai,candidate score 0.59 is below the 6.0 POI threshold
africa/zimbabwe/bulawayo,Bulawayo,Bulawayo,5,38,do,to Matopos,0.59,candidate,has description; high-value type; strong travel term,,,Matobo National Park,africa/zimbabwe/bulawayo/matobo_national_park,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bulawayo,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/dnepropetrovsk,Dnipro,Dnipro,8,48,see,Trinity Church,0.59,candidate,has description; high-value type; strong travel term,,,Preobrazhensky Cathedral,europe/ukraine/dnepropetrovsk/preobrazhensky_cathedral,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dnipro,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/pennsylvania/york,York,York (Pennsylvania),5,37,do,Cousler Park,0.59,candidate,has description; high-value type; strong travel term,,,York Central Market,northamerica/unitedstates/pennsylvania/york/central_market,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/York_%28Pennsylvania%29,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Palacio de Revillagigedo,0.59,candidate,has description; high-value type; strong travel term,,,Cimadevilla,europe/spain/northernspain/gijon/cimadevilla,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gij%C3%B3n,candidate score 0.59 is below the 6.0 POI threshold
