world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
southamerica/chile/concepcion,Concepción,Concepción,13,33,see,Parque Pedro del Río Zañartu,0.55,candidate,has description; high-value type,,,Parque Ecuador,southamerica/chile/concepcion/parque_ecuador,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Concepci%C3%B3n,candidate score 0.55 is below the 6.0 POI threshold
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,Eurocinema,0.55,candidate,has description; high-value type,,,Cotroceni,europe/romania/bucharest/cotroceni,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Platja de ses Oliveres,0.55,candidate,has description; high-value type,,,"Casa Museu Dalí, Portlligat",europe/spain/catalonia/cadaqus/casa_museu_dali_portlligat,0.409,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/kavala,Kavala,Kavala,14,95,do,Religious Tourism,0.55,candidate,has description; high-value type,,,Archaeological Museum of Kavala,europe/greece/kavala/archaeological_museum,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kavala,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/elche,Elche,Elche,8,42,do,Processó del Diumenge de Rams d'Elx,0.55,candidate,has description; high-value type,,,Misteri d'Elx,europe/spain/spanishcostas/elche/misteri_delx,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Elche,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/umbria/assisi,Assisi,Assisi,25,23,do,Sportoletti winery,0.55,candidate,has description; high-value type,,,Temple of Minerva,europe/italy/umbria/assisi/temple_of_minerva,0.457,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Assisi,candidate score 0.55 is below the 6.0 POI threshold
africa/morocco/erfoud,Erfoud,Erfoud,4,40,do,Erg Chebbi Dunes,0.55,candidate,has description; high-value type,,,Borj Est,africa/morocco/erfoud/borj_est,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erfoud,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/kampongcham,Kampong Cham,Kampong Cham,13,16,see,Abandoned US Airstrip,0.55,candidate,has description; high-value type,,,Koh Paen Bamboo Bridge,asia/cambodia/kampongcham/koh_paen_bamboo_bridge,0.326,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kampong_Cham,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Nordwestbad,0.55,candidate,has description; high-value type,,,VfL Bochum Ruhrstadion,europe/germany/northrhinewestphalia/bochum/vfl_bochum_ruhrstadion,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bochum,candidate score 0.55 is below the 6.0 POI threshold
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Canada Day,0.55,candidate,has description; high-value type,,,Royal Canadian Mint,northamerica/canada/manitoba/winnipeg/royal_canadian_mint,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Winnipeg,candidate score 0.55 is below the 6.0 POI threshold
africa/egypt/alexandria,Alexandria,Alexandria,42,87,see,Central Ambulance,0.55,candidate,has description; high-value type,,,Ras el-Tin Palace,africa/egypt/alexandria/ras_el_tin_palace,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Alexandria,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/honshu/kaga,Kaga,Kaga,8,27,do,Gogan Shinji Festival,0.55,candidate,has description; high-value type,,,Daishoji,asia/japan/honshu/kaga/daishoji,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaga,candidate score 0.55 is below the 6.0 POI threshold
